assertion_uid,source_text_kind,c1_value_unit,c1_detail,evidence_span_relocated,c2_quantity,c2_detail,c3_applicability,c3_detail,c4_scope,c4_detail,c5_status,c5_detail,c6_species,c6_detail,c7_duplication,c7_detail,under_attributed,verdict,error_criteria,paper_id,entity_id,classification,printed_figure_number,panel,source_series,quantity,value,unit,species,assertion_status,source_kind,bound_at_scope,family,raw_evidence,evidence_locator
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig4a__exp05::2,document body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig4a__exp05,imported_literature_data,4,a,"Arts 2019, 150 °C",cycle_number,400,cycle,,approximate,body,series,cycle,400 ALD cycles,reference-scoped statement in document.md
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig6a__exp04::1,document body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig6a__exp04,imported_literature_data,6,a,Arts 2019,exposure,750,mTorr*s,,estimated,body,series,exposure,750 mTorr ⋅ s,reference-scoped statement in document.md
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig7a__exp01::1,document body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig7a__exp01,imported_literature_data,7,a,"Yim and Ylivaara 2020, d = 2.0 µm",precursor_partial_pressure,160,mTorr,,estimated,body,series,pressure,p A = 160 mTorr,reference-scoped statement in document.md
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig7a__exp02::1,document body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig7a__exp02,imported_literature_data,7,a,"Yim and Ylivaara 2020, d = 0.5 µm",precursor_partial_pressure,160,mTorr,,estimated,body,series,pressure,p A = 160 mTorr,reference-scoped statement in document.md
10.1016_j.sse.2022.108584::10.1016_j.sse.2022.108584__Fig7a__exp03::1,document body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.sse.2022.108584,10.1016_j.sse.2022.108584__Fig7a__exp03,imported_literature_data,7,a,"Yim and Ylivaara 2020, d = 0.1 µm",precursor_partial_pressure,160,mTorr,,estimated,body,series,pressure,p A = 160 mTorr,reference-scoped statement in document.md
10.1016_j.tsf.2012.11.127::10.1016_j.tsf.2012.11.127__Fig2a::0,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.tsf.2012.11.127,10.1016_j.tsf.2012.11.127__Fig2a,discrete_experimental_sweep,2,a,Thickness,growth_per_cycle,0.13,Å/cycle,,direct,caption,figure,gpc,0.13 Å/cycle,figure 2 caption
10.1016_j.tsf.2012.11.127::10.1016_j.tsf.2012.11.127__Fig4b__exp02::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1016_j.tsf.2012.11.127,10.1016_j.tsf.2012.11.127__Fig4b__exp02,multi_output_measurement,4,b,Fe:Zr 1:200,deposition_temperature,350,°C,,direct,methods,method,temperature,growth temperature was maintained at 350°C,methods section
10.1021_acs.chemmater.2c01154::10.1021_acs.chemmater.2c01154__Fig1b__exp04::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154__Fig1b__exp04,multi_output_measurement,1,b,30 cyc (2.6 nm),deposition_temperature,150,°C,,direct,body,figure,temperature,grown at 150 ° C,document.md near Fig 1
10.1021_acs.chemmater.2c01154::10.1021_acs.chemmater.2c01154__Fig4a__exp05::1,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154__Fig4a__exp05,discrete_experimental_sweep,4,a,250 °C,cycle_number,-140,cycle,,direct,caption,figure,cycle,-140 ALD cycles,figure 4 caption
10.1021_acs.chemmater.2c01154::10.1021_acs.chemmater.2c01154__Fig5a__exp01::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154__Fig5a__exp01,multi_output_measurement,5,a,0.94,cycle_number,140,cycle,,direct,body,figure,cycle,140 ALD cycles,document.md near Fig 5
10.1021_acs.chemmater.2c01154::10.1021_acs.chemmater.2c01154__Fig7a__exp03::0,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154__Fig7a__exp03,discrete_experimental_sweep,7,a,0.50,cycle_number,100,cycle,,direct,body,figure,cycle,100 cycles,document.md near Fig 7
10.1021_acs.chemmater.2c01154::10.1021_acs.chemmater.2c01154__Fig7b__exp02::0,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154__Fig7b__exp02,discrete_experimental_sweep,7,b,0.20,cycle_number,100,cycle,,direct,caption,panel,cycle,100 cycles,"figure 7 caption, panel (b)"
10.1021_acs.chemmater.2c01154::10.1021_acs.chemmater.2c01154__Fig7b__exp05::0,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.chemmater.2c01154,10.1021_acs.chemmater.2c01154__Fig7b__exp05,discrete_experimental_sweep,7,b,0.65,cycle_number,100,cycle,,direct,caption,panel,cycle,100 cycles,"figure 7 caption, panel (b)"
10.1021_acs.chemmater.2c02292::10.1021_acs.chemmater.2c02292__Fig1f::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.chemmater.2c02292,10.1021_acs.chemmater.2c02292__Fig1f,experimental_profile,1,f,<single>,growth_per_cycle,1,Å/cycle,,direct,body,figure,gpc,GPC of 1Å/cycle,document.md near Fig 1
10.1021_acs.chemmater.2c02292::10.1021_acs.chemmater.2c02292__Fig5a__exp03::0,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.chemmater.2c02292,10.1021_acs.chemmater.2c02292__Fig5a__exp03,discrete_experimental_sweep,5,a,2-propanol,cycle_number,50,cycle,,direct,caption,figure,cycle,50 ALD cycles,figure 5 caption
10.1021_acs.jpcc.9b08176::10.1021_acs.jpcc.9b08176__Fig1b__exp03::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.jpcc.9b08176,10.1021_acs.jpcc.9b08176__Fig1b__exp03,model_sweep,1,b,r=10^-3,cycle_number,400,cycle,,approximate,methods,method,cycle,400 cycles,methods section
10.1021_acs.jpcc.9b08176::10.1021_acs.jpcc.9b08176__Fig1c__exp03::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.jpcc.9b08176,10.1021_acs.jpcc.9b08176__Fig1c__exp03,model_sweep,1,c,t=10^2,cycle_number,400,cycle,,approximate,methods,method,cycle,400 cycles,methods section
10.1021_acs.jpcc.9b08176::10.1021_acs.jpcc.9b08176__Fig2a__exp02::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.jpcc.9b08176,10.1021_acs.jpcc.9b08176__Fig2a__exp02,discrete_experimental_sweep,2,a,<single>,flow_rate,50,sccm,,direct,methods,method,flow,50 sccm,methods section
10.1021_acs.jpcc.9b08176::10.1021_acs.jpcc.9b08176__Fig2a__exp04::0,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1021_acs.jpcc.9b08176,10.1021_acs.jpcc.9b08176__Fig2a__exp04,discrete_experimental_sweep,2,a,<single>,flow_rate,50,sccm,,direct,methods,method,flow,50 sccm,methods section
10.1039_c5tc03561a::10.1039_c5tc03561a__Fig4a__exp03::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c5tc03561a,10.1039_c5tc03561a__Fig4a__exp03,multi_output_measurement,4,a,C,flow_rate,10,sccm,Ar,direct,methods,method,flow,10 sccm of Ar,methods section
10.1039_c5tc03561a::10.1039_c5tc03561a__Fig4a__exp04::2,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c5tc03561a,10.1039_c5tc03561a__Fig4a__exp04,multi_output_measurement,4,a,Si,flow_rate,10,sccm,Ar,direct,methods,method,flow,10 sccm of Ar,methods section
10.1039_c5tc03561a::10.1039_c5tc03561a__Fig7a__exp01::2,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c5tc03561a,10.1039_c5tc03561a__Fig7a__exp01,multi_output_measurement,7,a,Ti,purge_time,60,s,,direct,body,figure,purge,purging step (60 s,document.md near Fig 7
10.1039_c5tc03561a::10.1039_c5tc03561a__Fig7a__exp05::5,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c5tc03561a,10.1039_c5tc03561a__Fig7a__exp05,multi_output_measurement,7,a,Si,flow_rate,10,sccm,Ar,direct,methods,method,flow,10 sccm of Ar,methods section
10.1039_c6dt03571j::10.1039_c6dt03571j__Fig5a::4,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c6dt03571j,10.1039_c6dt03571j__Fig5a,discrete_experimental_sweep,5,a,<single>,pulse_time,4,s,H2O,direct,body,figure,pulse,pulses of 4 s,document.md near Fig 5
10.1039_c6dt03571j::10.1039_c6dt03571j__Fig5d::0,caption panel clause,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c6dt03571j,10.1039_c6dt03571j__Fig5d,discrete_experimental_sweep,5,d,<single>,deposition_temperature,225,°C,,direct,caption,panel,temperature,carried out at 225 °C,"figure 5 caption, panel (d)"
10.1039_c6dt03571j::10.1039_c6dt03571j__Fig6a__exp06::0,series label,pass,,False,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c6dt03571j,10.1039_c6dt03571j__Fig6a__exp06,multi_output_measurement,6,a,275°C,deposition_temperature,275,°C,,direct,series_label,series,temperature,275°C,series label '275°C' (axis 'temperature')
10.1039_c6dt03571j::10.1039_c6dt03571j__Fig7a__exp03::0,series label,pass,,False,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c6dt03571j,10.1039_c6dt03571j__Fig7a__exp03,unknown,7,a,200°C,deposition_temperature,200,°C,,direct,series_label,series,temperature,200°C,series label '200°C' (axis 'temperature')
10.1039_c6dt03571j::10.1039_c6dt03571j__Fig7a__exp06::0,series label,pass,,False,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c6dt03571j,10.1039_c6dt03571j__Fig7a__exp06,unknown,7,a,275°C,deposition_temperature,275,°C,,direct,series_label,series,temperature,275°C,series label '275°C' (axis 'temperature')
10.1039_c7ra07722j::10.1039_c7ra07722j__Fig10a__exp03::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c7ra07722j,10.1039_c7ra07722j__Fig10a__exp03,fit,10,a,Plasma fit,cycle_number,10,cycle,,direct,methods,method,cycle,10 cycles,methods section
10.1039_c7ra07722j::10.1039_c7ra07722j__Fig3b__exp02::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c7ra07722j,10.1039_c7ra07722j__Fig3b__exp02,discrete_experimental_sweep,3,b,"SE, plasma",cycle_number,10,cycle,,direct,methods,method,cycle,10 cycles,methods section
10.1039_c7ra07722j::10.1039_c7ra07722j__Fig4a__exp01::3,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c7ra07722j,10.1039_c7ra07722j__Fig4a__exp01,discrete_experimental_sweep,4,a,250 °C,base_pressure,1e-8,mbar,,direct,methods,method,pressure,base pressure of the system was 1e-8 mbar,methods section
10.1039_c7ra07722j::10.1039_c7ra07722j__Fig4a__exp02::1,caption,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c7ra07722j,10.1039_c7ra07722j__Fig4a__exp02,discrete_experimental_sweep,4,a,275 °C,pulse_time,2,s,,direct,caption,figure,pulse,pulses of 2 s,figure 4 caption
10.1039_c7ra07722j::10.1039_c7ra07722j__Fig4a__exp03::3,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c7ra07722j,10.1039_c7ra07722j__Fig4a__exp03,discrete_experimental_sweep,4,a,300 °C,base_pressure,1e-8,mbar,,direct,methods,method,pressure,base pressure of the system was 1e-8 mbar,methods section
10.1039_c7ra07722j::10.1039_c7ra07722j__Fig5a__exp02::1,figure body,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c7ra07722j,10.1039_c7ra07722j__Fig5a__exp02,discrete_experimental_sweep,5,a,5 s plasma,cycle_number,100,cycle,,direct,body,figure,cycle,100 cycles,document.md near Fig 5
10.1039_c7ra07722j::10.1039_c7ra07722j__Fig6a__exp01::1,methods section,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c7ra07722j,10.1039_c7ra07722j__Fig6a__exp01,multi_output_measurement,6,a,<single>,cycle_number,10,cycle,,direct,methods,method,cycle,10 cycles,methods section
10.1039_c7ra07722j::10.1039_c7ra07722j__Fig7a__exp05::0,series label,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_c7ra07722j,10.1039_c7ra07722j__Fig7a__exp05,multi_output_measurement,7,a,Plasma 150 °C,deposition_temperature,150,°C,,direct,series_label,series,temperature,150 °C,series label 'Plasma 150 °C' (axis 'process type and temperature')
10.1039_d0cp03358h::10.1039_d0cp03358h__Fig10a__exp02::0,series label,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h__Fig10a__exp02,simulation,10,a,200 nm,feature_height,200,nm,,direct,series_label,series,geometry,200 nm,series label '200 nm' (axis 'channel height')
10.1039_d0cp03358h::10.1039_d0cp03358h__Fig10b__exp01::0,series label,pass,,True,pass,,pass,,pass,,pass,,pass,,pass,,False,correct,,10.1039_d0cp03358h,10.1039_d0cp03358h__Fig10b__exp01,simulation,10,b,100 nm,feature_height,100,nm,,direct,series_label,series,geometry,100 nm,series label '100 nm' (axis 'channel height')
