psed_experiment_id,source_result_ids,figure_panel,material,conditions,geometry,experiment_class,physical_case_id,mapped_pdf_case,mapped_measurement,verdict,explanation,confidence
10.1038_am.2016.182__Fig1b__exp01__case00,10.1038_am.2016.182__Fig1b__exp01,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp01,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp01__case01,10.1038_am.2016.182__Fig1b__exp01,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp01,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp01__case02,10.1038_am.2016.182__Fig1b__exp01,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp01,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp01__case03,10.1038_am.2016.182__Fig1b__exp01,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp01,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp01__case04,10.1038_am.2016.182__Fig1b__exp01,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp01,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp01__case05,10.1038_am.2016.182__Fig1b__exp01,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp01,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp01__case06,10.1038_am.2016.182__Fig1b__exp01,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp01,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp02__case00,10.1038_am.2016.182__Fig1b__exp02,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp02,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp02__case01,10.1038_am.2016.182__Fig1b__exp02,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp02,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp02__case02,10.1038_am.2016.182__Fig1b__exp02,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp02,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp02__case03,10.1038_am.2016.182__Fig1b__exp02,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp02,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1b__exp02__case04,10.1038_am.2016.182__Fig1b__exp02,Fig1b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;cycle_number=200.0cycle,planar,ExperimentalCase,10.1038_am.2016.182__Fig1b__exp02,CASE_B,M2,CORRECT,coverage-vs-cycles sweep,HIGH
10.1038_am.2016.182__Fig1h__exp01__case00,10.1038_am.2016.182__Fig1h__exp01,Fig1h,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1h__exp01,CASE_B,M2,UNRESOLVABLE_FROM_PAPER,PSED panel h has no matching printed panel in the Fig 1 caption,HIGH
10.1038_am.2016.182__Fig1h__exp01__case01,10.1038_am.2016.182__Fig1h__exp01,Fig1h,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1h__exp01,CASE_B,M2,UNRESOLVABLE_FROM_PAPER,PSED panel h has no matching printed panel in the Fig 1 caption,HIGH
10.1038_am.2016.182__Fig1h__exp01__case02,10.1038_am.2016.182__Fig1h__exp01,Fig1h,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1h__exp01,CASE_B,M2,UNRESOLVABLE_FROM_PAPER,PSED panel h has no matching printed panel in the Fig 1 caption,HIGH
10.1038_am.2016.182__Fig1h__exp01__case03,10.1038_am.2016.182__Fig1h__exp01,Fig1h,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1h__exp01,CASE_B,M2,UNRESOLVABLE_FROM_PAPER,PSED panel h has no matching printed panel in the Fig 1 caption,HIGH
10.1038_am.2016.182__Fig1h__exp01__case04,10.1038_am.2016.182__Fig1h__exp01,Fig1h,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1h__exp01,CASE_B,M2,UNRESOLVABLE_FROM_PAPER,PSED panel h has no matching printed panel in the Fig 1 caption,HIGH
10.1038_am.2016.182__Fig1h__exp02__case00,10.1038_am.2016.182__Fig1h__exp02,Fig1h,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1h__exp02,CASE_B,M2,UNRESOLVABLE_FROM_PAPER,PSED panel h has no matching printed panel in the Fig 1 caption,HIGH
10.1038_am.2016.182__Fig1h__exp02__case01,10.1038_am.2016.182__Fig1h__exp02,Fig1h,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig1h__exp02,CASE_B,M2,UNRESOLVABLE_FROM_PAPER,PSED panel h has no matching printed panel in the Fig 1 caption,HIGH
10.1038_am.2016.182__Fig2a__exp01__case00,10.1038_am.2016.182__Fig2a__exp01,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp01,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp01__case01,10.1038_am.2016.182__Fig2a__exp01,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp01,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp01__case02,10.1038_am.2016.182__Fig2a__exp01,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp01,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp01__case03,10.1038_am.2016.182__Fig2a__exp01,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp01,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp01__case04,10.1038_am.2016.182__Fig2a__exp01,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp01,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp01__case05,10.1038_am.2016.182__Fig2a__exp01,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp01,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp01__case06,10.1038_am.2016.182__Fig2a__exp01,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp01,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp02__case00,10.1038_am.2016.182__Fig2a__exp02,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp02,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp02__case01,10.1038_am.2016.182__Fig2a__exp02,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp02,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp02__case02,10.1038_am.2016.182__Fig2a__exp02,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp02,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2a__exp02__case03,10.1038_am.2016.182__Fig2a__exp02,Fig2a,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2a__exp02,CASE_C,M5,OVER_SPLIT,same temperature series as Fig2b/2c but no shared physical case,HIGH
10.1038_am.2016.182__Fig2b__exp01__case00,10.1038_am.2016.182__Fig2b__exp01,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp01,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2b__exp01__case01,10.1038_am.2016.182__Fig2b__exp01,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp01,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2b__exp01__case02,10.1038_am.2016.182__Fig2b__exp01,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp01,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2b__exp01__case03,10.1038_am.2016.182__Fig2b__exp01,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp01,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2b__exp01__case04,10.1038_am.2016.182__Fig2b__exp01,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp01,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2b__exp01__case05,10.1038_am.2016.182__Fig2b__exp01,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp01,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2b__exp01__case06,10.1038_am.2016.182__Fig2b__exp01,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp01,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2b__exp02__case00,10.1038_am.2016.182__Fig2b__exp02,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp02,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2b__exp02__case01,10.1038_am.2016.182__Fig2b__exp02,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp02,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2b__exp02__case02,10.1038_am.2016.182__Fig2b__exp02,Fig2b,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig2b__exp02,CASE_C,M6,OVER_SPLIT,resistivity of the same temperature-series films as Fig2a,HIGH
10.1038_am.2016.182__Fig2c__exp01,10.1038_am.2016.182__Fig2c__exp01,Fig2c,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;deposition_temperature=100.0°C;,planar,ExperimentalCase,10.1038_am.2016.182__Fig2c__exp01,CASE_C,M7,OVER_SPLIT,XPS at 100 and 300 C on films from the same series as Fig2a/2b,HIGH
10.1038_am.2016.182__Fig2c__exp02,10.1038_am.2016.182__Fig2c__exp02,Fig2c,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm;deposition_temperature=300.0°C,planar,ExperimentalCase,10.1038_am.2016.182__Fig2c__exp02,CASE_C,M7,OVER_SPLIT,XPS at 100 and 300 C on films from the same series as Fig2a/2b,HIGH
10.1038_am.2016.182__Fig3e,10.1038_am.2016.182__Fig3e,Fig3e,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig3e,CASE_F,M11,CORRECT,resistance vs cycles on the cotton-fibre case,HIGH
10.1038_am.2016.182__Fig3f,10.1038_am.2016.182__Fig3f,Fig3f,Pt,temperature=80°C;molecular_mass=32.0g/mol;precursor_molecular_diameter=0.346nm,planar,ExperimentalCase,10.1038_am.2016.182__Fig3f,CASE_F,M12,OVER_SPLIT,bending measurement on the same fibre specimen as Fig3e,HIGH
