doi,cited_by,resolution_method,article_title,journal,year
10.1021/acs.chemmater.8b01271,popov2025,crossref_deposited,,Chem. Mater.,2018
10.1021/acs.chemmater.7b04371,popov2025,crossref_deposited,,Chem. Mater.,2018
10.1021/acs.chemmater.7b05005,popov2025,crossref_deposited,,Chem. Mater.,2018
10.1021/acs.chemmater.8b01171,popov2025,crossref_deposited,,Chem. Mater.,2018
10.1021/acs.chemmater.8b04129,popov2025,crossref_deposited,,Chem. Mater.,2018
10.1021/acs.chemmater.7b04790,popov2025,crossref_deposited,,Chem. Mater.,2018
10.1021/acs.chemmater.9b02533,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.9b01937,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.9b01688,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.9b01877,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.8b04969,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.9b00675,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.8b04456,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.9b00193,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.9b02085,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.9b01107,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.8b03921,popov2025,crossref_deposited,,Chem. Mater.,2019
10.1021/acs.chemmater.0c02306,popov2025,crossref_deposited,,Chem. Mater.,2020
10.1021/acs.chemmater.0c02505,popov2025,crossref_deposited,,Chem. Mater.,2020
10.1021/acs.chemmater.0c01887,popov2025,crossref_deposited,,Chem. Mater.,2020
10.1021/acs.chemmater.1c00877,popov2025,crossref_deposited,,Chem. Mater.,2021
10.1021/acs.chemmater.1c02982,popov2025,crossref_deposited,,Chem. Mater.,2021
10.1021/acs.chemmater.1c01054,popov2025,crossref_deposited,,Chem. Mater.,2021
10.1021/acs.chemmater.0c04496,popov2025,crossref_deposited,,Chem. Mater.,2021
10.1021/acs.chemmater.0c03928,popov2025,crossref_deposited,,Chem. Mater.,2021
10.1021/acs.chemmater.1c03394,popov2025,crossref_deposited,,Chem. Mater.,2021
10.1021/acs.chemmater.2c01202,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.2c00907,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.2c00753,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.1c03142,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.1c03093,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.2c02292,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.1c04411,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.2c02341,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.2c00954,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.2c01154,popov2025,crossref_deposited,,Chem. Mater.,2022
10.1021/acs.chemmater.3c02059,popov2025,crossref_deposited,,Chem. Mater.,2023
10.1021/acs.chemmater.3c00013,popov2025,crossref_deposited,,Chem. Mater.,2023
10.1021/acs.chemmater.3c00143,popov2025,crossref_deposited,,Chem. Mater.,2023
10.1021/cr900056b,cremers2019,crossref_deposited,Atomic layer deposition: An overview,Chem. Rev.,2010
10.1021/acs.chemrev.8b00800,popov2025,crossref_deposited,,Chem. Rev.,2019
10.1039/c1cs15091j,cremers2019,crossref_deposited,Tailoring nanoporous materials by atomic layer deposition,Chem. Soc. Rev.,2011
10.1002/(sici)1521-3862(199901)5:1&lt;7::aid-cvde7&gt;3.0.co;2-j,cremers2019,crossref_deposited,Perfectly conformal TiN and Al2O3 films deposited by atomic layer deposition,Chem. Vap. Depos.,1999
10.1002/cvde.200390005,cremers2019,crossref_deposited,A kinetic model for step coverage by atomic layer deposition in narrow holes or trenches,Chem. Vap. Depos.,2003
10.1002/cvde.200606519,cremers2019,crossref_deposited,Radical-enhanced atomic layer deposition of silver thin films using phosphine-adducted silver carboxylates,Chem. Vap. Depos.,2007
10.1002/cvde.200606508,cremers2019,crossref_deposited,Plasma-enhanced atomic layer deposition of palladium on a polymer substrate,Chem. Vap. Depos.,2007
10.1002/cvde.200806713,cremers2019,crossref_deposited,Thin polymer films with high step coverage in microtrenches by initiated CVD,Chem. Vap. Depos.,2008
10.1002/cvde.201006891,cremers2019|popov2025,crossref_deposited,Thin films of cobalt oxide deposited on high aspect ratio supports by atomic layer deposition,Chem. Vap. Depos.,2011
10.1002/cvde.201106922,cremers2019,crossref_deposited,A ballistic transport and surface reaction model for simulating atomic layer deposition processes in high-aspect-ratio nanopores,Chem. Vap. Depos.,2011
10.1002/cvde.201106938,cremers2019,crossref_deposited,Self-limited reaction-diffusion in nanostructured substrates: Surface coverage dynamics and analytic approximations to ALD saturation times,Chem. Vap. Depos.,2012
10.1002/cvde.201402012,cremers2019|popov2025,crossref_deposited,A short history of atomic layer deposition: Tuomo Suntola's atomic layer epitaxy,Chem. Vap. Depos.,2014
10.1002/cvde.201502013,cremers2019,crossref_deposited,From V.B. Aleskovskii's ‘Framework’ hypothesis to the method of molecular layering/atomic layer deposition,Chem. Vap. Depos.,2015
10.1002/cvde.200306246,popov2025,crossref_deposited,,Chem. Vap. Deposition,2003
10.1002/cvde.200906833,popov2025,crossref_deposited,,Chem. Vap. Deposition,2010
10.1002/cvde.201106879,popov2025,crossref_deposited,,Chem. Vap. Deposition,2011
10.1002/cvde.201006890,popov2025,crossref_deposited,,Chem. Vap. Deposition,2011
10.1002/cvde.201106959,popov2025,crossref_deposited,,Chem. Vap. Deposition,2012
10.1002/cvde.201106934,popov2025,crossref_deposited,,Chem. Vap. Deposition,2012
10.1002/cvde.201106949,popov2025,crossref_deposited,,Chem. Vap. Deposition,2012
10.1002/cvde.201206986,popov2025,crossref_deposited,,Chem. Vap. Deposition,2012
10.1002/cvde.201207030,popov2025,crossref_deposited,,Chem. Vap. Deposition,2013
10.1002/cvde.201207026,popov2025,crossref_deposited,,Chem. Vap. Deposition,2013
10.1002/cvde.201207051,popov2025,crossref_deposited,,Chem. Vap. Deposition,2013
10.1002/cvde.201407116,popov2025,crossref_deposited,,Chem. Vap. Deposition,2014
10.1002/cvde.201407112,popov2025,crossref_deposited,,Chem. Vap. Deposition,2014
10.1002/cvde.201407115,popov2025,crossref_deposited,,Chem. Vap. Deposition,2014
10.1002/cvde.201507170,popov2025,crossref_deposited,,Chem. Vap. Deposition,2015
10.1002/cvde.201507196,popov2025,crossref_deposited,,Chem. Vap. Deposition,2015
10.1002/celc.201600139,popov2025,crossref_deposited,,ChemElectroChem,2016
10.1002/celc.201800152,popov2025,crossref_deposited,,ChemElectroChem,2018
10.1002/cnma.201700148,popov2025,crossref_deposited,,ChemNanoMat.,2017
10.1002/cphc.201700407,popov2025,crossref_deposited,,ChemPhysChem,2017
10.1002/cplu.202000108,popov2025,crossref_deposited,,ChemPlusChem,2020
10.1002/cssc.201600457,popov2025,crossref_deposited,,ChemSusChem,2016
10.3390/coatings8070237,popov2025,crossref_deposited,,Coatings,2018
10.3390/coatings8120431,popov2025,crossref_deposited,,Coatings,2018
10.3390/coatings10100954,popov2025,crossref_deposited,,Coatings,2020
10.3390/coatings12010101,popov2025,crossref_deposited,,Coatings,2022
10.3390/coatings13030605,popov2025,crossref_deposited,,Coatings,2023
10.3390/coatings13050870,popov2025,crossref_deposited,,Coatings,2023
10.3390/coatings13061070,popov2025,crossref_deposited,,Coatings,2023
10.3390/coatings13030641,popov2025,crossref_deposited,,Coatings,2023
10.3390/coatings13050960,popov2025,crossref_deposited,,Coatings,2023
10.1016/j.commatsci.2005.03.019,cremers2019,crossref_deposited,Simulation of surface relief effect on ALD process,Comput. Mater. Sci.,2006
10.1016/j.ccr.2013.08.007,cremers2019,crossref_deposited,Carbon-nanostructures coated/decorated by atomic layer deposition: Growth and applications,Coordin. Chem. Rev.,2013
10.1021/acs.cgd.0c00457,popov2025,crossref_deposited,,Cryst. Growth Des.,2020
10.1021/acs.cgd.3c00502,popov2025,crossref_deposited,,Cryst. Growth Des.,2023
10.1039/c1ce05923h,popov2025,crossref_deposited,,CrystEngComm,2011
10.1039/b918175j,popov2025,crossref_deposited,,Dalton Trans.,2010
10.1039/c3dt52746h,popov2025,crossref_deposited,,Dalton Trans.,2014
10.1039/c4dt01930j,popov2025,crossref_deposited,,Dalton Trans.,2014
10.1039/c5dt00436e,popov2025,crossref_deposited,,Dalton Trans.,2015
10.1039/c6dt03040h,popov2025,crossref_deposited,,Dalton Trans.,2016
10.1039/c6dt03571j,popov2025,crossref_deposited,,Dalton Trans.,2016
10.1039/c7dt02757e,popov2025,crossref_deposited,,Dalton Trans.,2017
10.1039/c6dt02572b,popov2025,crossref_deposited,,Dalton Trans.,2017
10.1039/c6dt03952a,popov2025,crossref_deposited,,Dalton Trans.,2017
10.1039/c7dt00512a,popov2025,crossref_deposited,,Dalton Trans.,2017
10.1039/c7dt03753h,popov2025,crossref_deposited,,Dalton Trans.,2017
10.1039/c8dt02508h,popov2025,crossref_deposited,,Dalton Trans.,2018
10.1039/c9dt04644e,popov2025,crossref_deposited,,Dalton Trans.,2020
10.1039/d1dt02529e,popov2025,crossref_deposited,,Dalton Trans.,2021
10.1039/d1dt02315b,popov2025,crossref_deposited,,Dalton Trans.,2021
10.1039/d1dt03465k,popov2025,crossref_deposited,,Dalton Trans.,2021
10.1039/d1dt03479k,popov2025,crossref_deposited,,Dalton Trans.,2021
10.1039/d1dt03454e,popov2025,crossref_deposited,,Dalton Trans.,2021
10.1039/d1dt01634b,popov2025,crossref_deposited,,Dalton Trans.,2021
10.1039/d1dt03748j,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d1dt03960a,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d1dt03736f,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d1dt03600a,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d2dt01347a,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d2dt02216h,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d1dt03543f,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d2dt02562k,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d2dt01427k,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d1dt03487a,popov2025,crossref_deposited,,Dalton Trans.,2022
10.1039/d3dt01717f,popov2025,crossref_deposited,,Dalton Trans.,2023
10.1039/d3dt01824e,popov2025,crossref_deposited,,Dalton Trans.,2023
10.1149/2.001303jss,cremers2019|popov2025,crossref_deposited,Atomic layer deposition of Ru thin films using a Ru(0) metallorganic precursor and O2,ECS J. Solid State Sci.,2012
10.1149/1.009206jss,cremers2019,crossref_deposited,"Plasma-enhanced ALD of platinum with O2, N2 and NH3 plasmas",ECS J. Solid State Sci. Technol.,2012
10.1149/2.013206jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2012
10.1149/2.023201jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2012
10.1149/2.011201jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2012
10.1149/2.004303jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2013
10.1149/2.0021411jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2014
10.1149/2.014406jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2014
10.1149/2.0231512jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2015
10.1149/2.0241509jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2015
10.1149/2.0291605jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2016
10.1149/2.0021806jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2018
10.1149/2.0041802jss,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2018
10.1149/2162-8777/ac6d74,popov2025,crossref_deposited,,ECS J. Solid State Sci. Technol.,2022
10.1149/1.3207582,cremers2019,crossref_deposited,Multiscale simulation and optimization of an atomic layer deposition process in a nanoporous material,ECS Trans.,2009
10.1149/1.3207651,popov2025,crossref_deposited,,ECS Trans.,2009
10.1149/1.3481630,popov2025,crossref_deposited,,ECS Trans.,2010
10.1149/1.3360697,popov2025,crossref_deposited,,ECS Trans.,2010
10.1149/1.3567622,popov2025,crossref_deposited,,ECS Trans.,2011
10.1149/1.3633673,popov2025,crossref_deposited,,ECS Trans.,2011
10.1149/1.3633675,popov2025,crossref_deposited,,ECS Trans.,2011
10.1149/05013.0107ecst,popov2025,crossref_deposited,,ECS Trans.,2013
10.1149/05051.0045ecst,popov2025,crossref_deposited,,ECS Trans.,2013
10.1149/06001.0513ecst,cremers2019,crossref_deposited,(Keynote) atomic layer deposition trends and challenges in high-k/metal gate and alternative channel CMOS processing,ECS Trans.,2014
10.1149/06409.0147ecst,popov2025,crossref_deposited,,ECS Trans.,2014
10.1149/08606.0041ecst,popov2025,crossref_deposited,,ECS Trans.,2018
10.1149/09203.0003ecst,popov2025,crossref_deposited,,ECS Trans.,2019
10.1149/1.1475199,cremers2019,crossref_deposited,Atomic layer deposition of nickel by the reduction of preformed nickel oxide,Electrochem. Solid State,2002
10.1149/1.1587071,cremers2019,crossref_deposited,Highly conformal Cu thin-film growth by low-temperature pulsed MOCVD,Electrochem. Solid State,2003
10.1149/1.2813881,cremers2019,crossref_deposited,TiO2/Al2O3/TiO2 nanolaminated thin films for DRAM capacitor deposited by plasma-enhanced atomic layer deposition,Electrochem. Solid State,2008
10.1149/1.2901542,cremers2019,crossref_deposited,Formation of Ru nanotubes by atomic layer deposition onto an anodized aluminum oxide template,Electrochem. Solid State,2008
10.1149/1.3207867,cremers2019,crossref_deposited,Low temperature atomic layer deposition of ruthenium thin films using isopropylmethylbenzene-cyclohexadiene-ruthenium and O2,Electrochem. Solid State,2009
10.1149/1.3355207,cremers2019,crossref_deposited,Ozone-based metal oxide atomic layer deposition: Impact of N2/O2 supply ratio in ozone generation,Electrochem. Solid State,2010
10.1149/1.1391185,popov2025,crossref_deposited,,Electrochem. Solid-State Lett.,1999
10.1149/1.1595312,popov2025,crossref_deposited,,Electrochem. Solid-State Lett.,2003
10.1149/1.3266877,popov2025,crossref_deposited,,Electrochem. Solid-State Lett.,2010
10.1149/1.3490413,popov2025,crossref_deposited,,Electrochem. Solid-State Lett.,2010
10.1149/2.008202esl,popov2025,crossref_deposited,,Electrochem. Solid-State Lett.,2011
10.1149/1.3556980,popov2025,crossref_deposited,,Electrochem. Solid-State Lett.,2011
10.1149/1.3537326,popov2025,crossref_deposited,,Electrochem. Solid-State Lett.,2011
10.1016/j.electacta.2014.09.077,popov2025,crossref_deposited,,Electrochim. Acta,2014
10.1016/j.electacta.2015.07.016,cremers2019,crossref_deposited,"Engineering a three-dimensional, photoelectrochemically active p-NiO/i-Sb2S3 junction by atomic layer deposition",Electrochim. Acta,2015
10.3390/electronics6020027,popov2025,crossref_deposited,,Electronics,2017
10.1039/c2ee21110f,cremers2019,crossref_deposited,Atomic layer deposition of vanadium oxide on carbon nanotubes for high-power supercapacitor electrodes,Energ. Environ. Sci.,2012
10.1039/c2ee23620f,popov2025,crossref_deposited,,Energy Env. Sci.,2013
10.1039/c0ee00086h,cremers2019,crossref_deposited,TiO2 inverse-opal electrode fabricated by atomic layer deposition for dye-sensitized solar cell applications,Energy Environ. Sci.,2011
10.1016/j.flatc.2019.100130,popov2025,crossref_deposited,,FlatChem,2019
10.1016/j.flatc.2020.100166,popov2025,crossref_deposited,,FlatChem,2020
10.1109/led.2023.3239379,popov2025,crossref_deposited,,IEEE Electron Device Lett.,2023
10.1109/ted.2016.2570221,popov2025,crossref_deposited,,IEEE Trans. Electron Devices,2016
10.1109/tps.2005.845286,cremers2019,crossref_deposited,Characterization of Oxygen Plasma With A Fiber Optic Catalytic Probe And Determination Of Recombination Coefficients,IEEE Trans. Plasma Sci.,2005
10.1021/ic902411h,popov2025,crossref_deposited,,Inorg. Chem.,2010
10.1021/acs.inorgchem.1c00731,popov2025,crossref_deposited,,Inorg. Chem.,2021
10.1021/acs.inorgchem.1c02339,popov2025,crossref_deposited,,Inorg. Chem.,2021
10.1016/j.inoche.2022.109235,popov2025,crossref_deposited,,Inorg. Chem. Commun.,2022
10.1134/s0020168510010097,popov2025,crossref_deposited,,Inorg. Mater.,2010
10.1134/s0020168523040052,popov2025,crossref_deposited,,Inorg. Mater.,2023
10.3390/inorganics6010034,cremers2019,crossref_deposited,Atomic layer deposition on porous materials: Problems with conventional approaches to catalyst and fuel cell electrode preparation,Inorganics,2018
10.3390/inorganics6020046,popov2025,crossref_deposited,,Inorganics,2018
10.1016/j.ijhydene.2010.01.140,popov2025,crossref_deposited,,Int. J. Hydrogen Energy,2010
10.1016/j.ijpharm.2017.04.031,cremers2019,crossref_deposited,Surface modification of acetaminophen particles by atomic layer deposition,Int. J. Pharm.,2017
10.1016/j.jallcom.2014.04.186,popov2025,crossref_deposited,,J. Alloys Compd.,2014
10.1016/j.jallcom.2015.07.150,popov2025,crossref_deposited,,J. Alloys Compd.,2015
10.1016/j.jallcom.2015.12.148,cremers2019,crossref_deposited,Highly-conformal nanocrystalline molybdenum nitride thin films by atomic layer deposition as a diffusion barrier against Cu,J. Alloys Compd.,2016
10.1016/j.jallcom.2017.12.023,popov2025,crossref_deposited,,J. Alloys Compd.,2018
10.1016/j.jallcom.2021.159100,popov2025,crossref_deposited,,J. Alloys Compd.,2021
10.1016/j.jallcom.2022.168045,popov2025,crossref_deposited,,J. Alloys Compd.,2023
10.1016/j.jallcom.2023.172284,popov2025,crossref_deposited,,J. Alloys Compd.,2023
10.1111/jace.17521,popov2025,crossref_deposited,,J. Am. Ceram. Soc.,2021
10.1021/ja01239a053,popov2025,crossref_deposited,,J. Am. Chem. Soc.,1944
10.1021/ja072465w,cremers2019,crossref_deposited,Ordered iron oxide nanotube arrays of controlled geometry and tunable magnetism by atomic layer deposition,J. Am. Chem. Soc.,2007
10.1021/ja807802r,cremers2019,crossref_deposited,Growth inhibition to enhanced conformal coverage in thin film chemical vapor deposition,J. Am. Chem. Soc.,2008
10.1021/ja8090388,popov2025,crossref_deposited,,J. Am. Chem. Soc.,2009
10.1021/ja300319g,popov2025,crossref_deposited,,J. Am. Chem. Soc.,2012
10.1021/ja4050828,cremers2019,crossref_deposited,Vapor-phase metalation by atomic layer deposition in a metal-organic framework,J. Am. Chem. Soc.,2013
10.1021/ja407014w,popov2025,crossref_deposited,,J. Am. Chem. Soc.,2013
10.1063/1.1722872,cremers2019,crossref_deposited,Studies of molecular scattering at the solid surface,J. Appl. Phys.,1957
10.1063/1.356680,cremers2019,crossref_deposited,Two-photon absorption laser-induced fluorescence of H atoms: A probe for heterogeneous processes in hydrogen plasmas,J. Appl. Phys.,1994
10.1063/1.1940727,cremers2019,crossref_deposited,Surface chemistry of atomic layer deposition: A case study for the trimethylaluminum/water process,J. Appl. Phys.,2005
10.1063/1.1937476,cremers2019,crossref_deposited,Enhanced step coverage by oblique angle physical vapor deposition,J. Appl. Phys.,2005
10.1063/1.1935761,cremers2019,crossref_deposited,Robust TaNx diffusion barrier for Cu-interconnect technology with subnanometer thickness by metal-organic plasma-enhanced atomic layer deposition,J. Appl. Phys.,2005
10.1063/1.2714685,cremers2019,crossref_deposited,Step coverage modeling of thin films in atomic layer deposition,J. Appl. Phys.,2007
10.1063/1.3553872,popov2025,crossref_deposited,,J. Appl. Phys.,2011
10.1063/1.3596574,popov2025,crossref_deposited,,J. Appl. Phys.,2011
10.1063/1.3573513,popov2025,crossref_deposited,,J. Appl. Phys.,2011
10.1063/1.4766747,popov2025,crossref_deposited,,J. Appl. Phys.,2012
10.1063/1.4757907,cremers2019|popov2025,crossref_deposited,Crystallinity of inorganic films grown by atomic layer deposition: Overview and general trends,J. Appl. Phys.,2013
10.1063/1.4883767,popov2025,crossref_deposited,,J. Appl. Phys.,2014
10.1063/1.5028178,cremers2019,crossref_deposited,Modeling growth kinetics of thin films made by atomic layer deposition in lateral high-aspect-ratio structures,J. Appl. Phys.,2018
10.1063/1.5026790,popov2025,crossref_deposited,,J. Appl. Phys.,2018
10.1063/5.0028991,popov2025,crossref_deposited,,J. Appl. Phys.,2021
10.1063/5.0143013,popov2025,crossref_deposited,,J. Appl. Phys.,2023
10.1006/jcat.1996.0276,cremers2019,crossref_deposited,Surface characteristics and activity of chromia/alumina catalysts prepared by atomic layer epitaxy,J. Catal.,1996
10.1016/j.jcat.2018.01.018,cremers2019,crossref_deposited,"Catalytic carpets: Pt@MIL-101@electrospun PCL, a surprisingly active and robust hydrogenation catalyst",J. Catal.,2018
10.1016/j.jcat.2020.09.035,popov2025,crossref_deposited,,J. Catal.,2021
10.1063/1.4972120,cremers2019,crossref_deposited,Plasma-assisted atomic layer deposition of conformal Pt films in high aspect ratio trenches,J. Chem. Phys.,2017
10.1016/s0022-0248(03)00967-9,cremers2019,crossref_deposited,Al2O3 coating of ZnO nanorods by atomic layer deposition,J. Cryst. Growth,2003
10.1016/j.jcrysgro.2009.12.041,cremers2019,crossref_deposited,Development of a multiscale model for an atomic layer deposition process,J. Cryst. Growth,2010
10.1016/j.jcrysgro.2009.10.028,popov2025,crossref_deposited,,J. Cryst. Growth,2010
10.1016/j.jcrysgro.2010.03.033,popov2025,crossref_deposited,,J. Cryst. Growth,2010
10.1016/j.jcrysgro.2011.02.039,popov2025,crossref_deposited,,J. Cryst. Growth,2011
10.1016/j.jcrysgro.2017.04.019,popov2025,crossref_deposited,,J. Cryst. Growth,2017
10.1149/1.2086413,cremers2019,crossref_deposited,Prediction of step coverage during blanket CVD tungsten deposition in cylindrical pores,J. Electrochem. Soc.,1990
10.1149/1.2085881,cremers2019,crossref_deposited,Simulation of mass transport for deposition in via holes and trenches,J. Electrochem. Soc.,1991
10.1149/1.2054910,popov2025,crossref_deposited,,J. Electrochem. Soc.,1994
10.1149/1.1836500,cremers2019,crossref_deposited,Deposition of tin oxide into porous silicon by atomic layer epitaxy,J. Electrochem. Soc.,1996
10.1149/1.1430230,cremers2019,crossref_deposited,Bottom-up filling of submicrometer features in catalyst-enhanced chemical vapor deposition of copper,J. Electrochem. Soc.,2002
10.1149/1.1423642,cremers2019,crossref_deposited,Plasma-enhanced atomic layer deposition of Ta-N thin films,J. Electrochem. Soc.,2002
10.1149/1.1566960,cremers2019,crossref_deposited,Interconnect fabrication by superconformal iodine-catalyzed chemical vapor deposition of copper,J. Electrochem. Soc.,2003
10.1149/1.1603254,cremers2019,crossref_deposited,Etching high aspect ratio silicon trenches,J. Electrochem. Soc.,2003
10.1149/1.1640633,cremers2019,crossref_deposited,Atomic layer deposition of ruthenium thin films for copper glue layer,J. Electrochem. Soc.,2004
10.1149/1.1825913,cremers2019,crossref_deposited,Characteristics and compositional variation of TiN films deposited by remote PEALD on contact holes,J. Electrochem. Soc.,2005
10.1149/1.1931471,cremers2019,crossref_deposited,Low-temperature deposition of aluminum oxide by radical enhanced atomic layer deposition,J. Electrochem. Soc.,2005
10.1149/1.2403081,cremers2019,crossref_deposited,"Atomic layer deposition of Ru thin films using 2,4-(dimethylpentadienyl)(ethylcyclopentadienyl)Ru by a liquid injection system",J. Electrochem. Soc.,2007
10.1149/1.2737629,cremers2019,crossref_deposited,Plasma and thermal ALD of Al2O3 in a commercial 200 mm ALD reactor,J. Electrochem. Soc.,2007
10.1149/1.2789802,cremers2019,crossref_deposited,Applicability of step-coverage modeling to TiO2 thin films in atomic layer deposition,J. Electrochem. Soc.,2007
10.1149/1.2789294,popov2025,crossref_deposited,,J. Electrochem. Soc.,2007
10.1149/1.3072694,cremers2019,crossref_deposited,Modeling the conformality of atomic layer deposition: The effect of sticking probability,J. Electrochem. Soc.,2009
10.1149/1.3166184,cremers2019,crossref_deposited,Integration of atomic layer deposition-grown copper seed layers for Cu electroplating applications,J. Electrochem. Soc.,2009
10.1149/1.3076143,cremers2019,crossref_deposited,Thermal and plasma enhanced atomic layer deposition of Al2O3 on GaAs substrates,J. Electrochem. Soc.,2009
10.1149/1.3002372,popov2025,crossref_deposited,,J. Electrochem. Soc.,2009
10.1149/1.3491381,cremers2019,crossref_deposited,Conformality of plasma-assisted ALD: Physical processes and modeling,J. Electrochem. Soc.,2010
10.1149/1.3301664,cremers2019,crossref_deposited,Conformality of Al2O3 and AlN deposited by plasma-enhanced atomic layer deposition,J. Electrochem. Soc.,2010
10.1149/1.3248002,popov2025,crossref_deposited,,J. Electrochem. Soc.,2010
10.1149/1.3301663,popov2025,crossref_deposited,,J. Electrochem. Soc.,2010
10.1149/1.3251285,popov2025,crossref_deposited,,J. Electrochem. Soc.,2010
10.1149/1.3244213,popov2025,crossref_deposited,,J. Electrochem. Soc.,2010
10.1149/1.3353230,popov2025,crossref_deposited,,J. Electrochem. Soc.,2010
10.1149/1.3377003,popov2025,crossref_deposited,,J. Electrochem. Soc.,2010
10.1149/1.3575163,cremers2019|popov2025,crossref_deposited,Thermal atomic layer deposition (ALD) of Ru films for Cu direct plating,J. Electrochem. Soc.,2011
10.1149/1.3533387,cremers2019|popov2025,crossref_deposited,Atomic layer deposition of ruthenium films from (ethylcyclopentadienyl)(pyrrolyl)ruthenium and oxygen,J. Electrochem. Soc.,2011
10.1149/1.3519497,popov2025,crossref_deposited,,J. Electrochem. Soc.,2011
10.1149/1.3504196,popov2025,crossref_deposited,,J. Electrochem. Soc.,2011
10.1149/1.3582765,popov2025,crossref_deposited,,J. Electrochem. Soc.,2011
10.1149/1.3575161,popov2025,crossref_deposited,,J. Electrochem. Soc.,2011
10.1149/2.069206jes,cremers2019|popov2025,crossref_deposited,Ru Films from Bis(ethylcyclopentadienyl)ruthenium using ozone as a reactant by atomic layer deposition for capacitor electrodes,J. Electrochem. Soc.,2012
10.1149/2.067203jes,cremers2019,crossref_deposited,"Plasma-assisted ALD for the conformal deposition of SiO2: Process, material and electronic properties",J. Electrochem. Soc.,2012
10.1149/2.034203jes,popov2025,crossref_deposited,,J. Electrochem. Soc.,2012
10.1149/2.052203jes,popov2025,crossref_deposited,,J. Electrochem. Soc.,2012
10.1149/2.056311jes,popov2025,crossref_deposited,,J. Electrochem. Soc.,2013
10.1149/2.0371613jes,popov2025,crossref_deposited,,J. Electrochem. Soc.,2016
10.1007/s11664-012-1960-6,popov2025,crossref_deposited,,J. Electron. Mater.,2012
10.1007/s11664-013-2754-1,popov2025,crossref_deposited,,J. Electron. Mater.,2014
10.1007/s11664-019-07899-9,popov2025,crossref_deposited,,J. Electron. Mater.,2020
10.1080/10934529809376813,cremers2019,crossref_deposited,Catalytic decomposition of ozone in the presence of water vapor,J. Environ. Sci. Heal. A,1998
10.1016/j.jeurceramsoc.2023.04.026,popov2025,crossref_deposited,,J. Eur. Ceram. Soc.,2023
10.1016/j.jlumin.2021.118544,popov2025,crossref_deposited,,J. Lumin.,2022
10.1016/j.jmmm.2019.166167,popov2025,crossref_deposited,,J. Magn. Magn. Mater.,2020
10.1039/c0jm02786c,popov2025,crossref_deposited,,"J. Mater, Chem",2011
10.1039/b516499k,cremers2019,crossref_deposited,Nanostructured TiO2 membranes by atomic layer deposition,J. Mater. Chem.,2006
10.1039/b710903b,popov2025,crossref_deposited,,J. Mater. Chem.,2007
10.1039/b908615c,cremers2019,crossref_deposited,A novel approach for fabrication of bismuth-silicon dioxide core-shell structures by atomic layer deposition,J. Mater. Chem.,2009
