review,ref_index,doi,resolution_method,match_score,article_title,journal,year,unstructured
popov2025,31,10.1021/cm504238f,crossref_deposited,,,Chem. Mater.,2015,
popov2025,32,10.1021/acs.jpcc.5b02625,crossref_deposited,,,J. Phys. Chem. C,2015,
popov2025,33,10.1116/1.4943385,crossref_deposited,,,J. Vac. Sci. Technol. A,2016,
popov2025,34,10.1021/acsami.5b11878,crossref_deposited,,,ACS Appl. Mater. Interfaces,2016,
popov2025,35,10.1134/s0020168523040052,crossref_deposited,,,Inorg. Mater.,2023,
popov2025,36,10.1134/s1063739718020026,crossref_deposited,,,Russ. Microlectron.,2018,
popov2025,37,10.3390/coatings10100954,crossref_deposited,,,Coatings,2020,
popov2025,38,10.1021/acs.inorgchem.1c00731,crossref_deposited,,,Inorg. Chem.,2021,
popov2025,39,10.1039/d1dt02529e,crossref_deposited,,,Dalton Trans.,2021,
popov2025,40,10.1116/1.5135014,crossref_deposited,,,J. Vac. Sci. Technol. A,2020,
popov2025,41,10.1134/s1070363218080236,crossref_deposited,,,Russ. J. Gen. Chem.,2018,
popov2025,42,10.1039/c3ra23320k,crossref_deposited,,,RSC Adv.,2013,
popov2025,43,10.1021/am401092z,crossref_deposited,,,ACS Appl. Mater. Interfaces,2013,
popov2025,44,10.1116/1.4936390,crossref_deposited,,,J. Vac. Sci. Technol. A,2016,
popov2025,45,10.1016/j.nanoen.2017.02.015,crossref_deposited,,,Nano Energy,2017,
popov2025,46,10.1116/6.0000844,crossref_deposited,,,J. Vac. Sci. Technol. A,2021,
popov2025,47,10.1021/cm102904f,crossref_deposited,,,Chem. Mater.,2011,
popov2025,48,10.1002/pssa.201330080,crossref_deposited,,,Phys. Status Solidi A,2014,
popov2025,49,10.1149/1.3519497,crossref_deposited,,,J. Electrochem. Soc.,2011,
popov2025,50,10.1021/cm301658m,crossref_deposited,,,Chem. Mater.,2012,
popov2025,51,10.1002/admi.201770122,crossref_deposited,,,Adv. Mater. Interfaces,2017,
popov2025,52,10.1021/acs.chemmater.5b00603,crossref_deposited,,,Chem. Mater.,2015,
popov2025,53,10.1149/2.034203jes,crossref_deposited,,,J. Electrochem. Soc.,2012,
popov2025,54,10.1116/1.4968202,crossref_deposited,,,J. Vac. Sci. Technol. A,2017,
popov2025,55,10.1116/1.4968193,crossref_deposited,,,J. Vac. Sci. Technol. A,2017,
popov2025,56,10.1021/acs.chemmater.7b02167,crossref_deposited,,,Chem. Mater.,2017,
popov2025,57,10.1039/d0nr01092h,crossref_deposited,,,Nanoscale,2020,
popov2025,58,10.1021/acsmaterialsau.2c00075,crossref_deposited,,,ACS Mater. Au,2023,
popov2025,59,10.1039/c4tc00648h,crossref_deposited,,,J. Mater. Chem. C,2014,
popov2025,60,10.1116/1.5044396,crossref_deposited,,,J. Vac. Sci. Technol. A,2018,
popov2025,61,10.1116/1.5111969,crossref_deposited,,,J. Vac. Sci. Technol. A,2019,
popov2025,62,10.1063/1.4867469,crossref_deposited,,,Appl. Phys. Lett.,2014,
popov2025,63,10.1039/c5tc03561a,crossref_deposited,,,J. Mater. Chem. C,2016,
popov2025,64,10.1063/1.3553872,crossref_deposited,,,J. Appl. Phys.,2011,
popov2025,65,10.1007/s11664-013-2754-1,crossref_deposited,,,J. Electron. Mater.,2014,
popov2025,66,10.1021/acs.jpcc.7b05240,crossref_deposited,,,J. Phys. Chem. C,2017,
popov2025,67,10.1116/1.4840835,crossref_deposited,,,J. Vac. Sci. Technol. A,2014,
popov2025,68,10.1021/acs.jpcc.6b12629,crossref_deposited,,,J. Phys. Chem. C,2017,
popov2025,69,10.1007/s11664-019-07899-9,crossref_deposited,,,J. Electron. Mater.,2020,
popov2025,70,10.1016/j.jcrysgro.2017.04.019,crossref_deposited,,,J. Cryst. Growth,2017,
popov2025,71,10.1021/nl4030038,crossref_deposited,,,Nano Lett.,2014,
popov2025,72,10.1021/jp4080652,crossref_deposited,,,J. Phys. Chem. C,2013,
popov2025,73,10.1021/am404498y,crossref_deposited,,,ACS Appl. Mater. Interfaces,2014,
popov2025,74,10.1021/jz502285f,crossref_deposited,,,J. Phys. Chem. Lett.,2014,
popov2025,75,10.1021/acs.chemmater.5b02093,crossref_deposited,,,Chem. Mater.,2015,
popov2025,76,10.1002/cphc.201700407,crossref_deposited,,,ChemPhysChem,2017,
popov2025,77,10.1016/j.jmmm.2019.166167,crossref_deposited,,,J. Magn. Magn. Mater.,2020,
popov2025,78,10.1039/b918175j,crossref_deposited,,,Dalton Trans.,2010,
popov2025,79,10.1016/j.jeurceramsoc.2023.04.026,crossref_deposited,,,J. Eur. Ceram. Soc.,2023,
popov2025,80,10.1002/cssc.201600457,crossref_deposited,,,ChemSusChem,2016,
popov2025,81,10.1039/c6ta09485f,crossref_deposited,,,J. Mater. Chem. A,2017,
popov2025,82,10.1002/cnma.201700148,crossref_deposited,,,ChemNanoMat.,2017,
popov2025,83,10.1021/acs.jpcc.8b00796,crossref_deposited,,,J. Phys. Chem. C,2018,
popov2025,84,10.1021/cm101812k,crossref_deposited,,,Chem. Mater.,2010,
popov2025,85,10.1039/c0jm02280b,crossref_deposited,,,J. Mater. Chem.,2010,
popov2025,86,10.1116/1.4972776,crossref_deposited,,,J. Vac. Sci. Technol. A,2017,
popov2025,87,10.1039/c1jm11825k,crossref_deposited,,,J. Mater. Chem.,2011,
popov2025,88,10.1116/6.0002563,crossref_deposited,,,J. Vac. Sci. Technol. A,2023,
popov2025,89,10.1116/6.0000327,crossref_deposited,,,J. Vac. Sci. Technol. A,2020,
popov2025,90,10.1002/anie.201602406,crossref_deposited,,,Angew. Chem. Int. Ed.,2016,
popov2025,91,10.3390/ma14205966,crossref_deposited,,,Materials,2021,
popov2025,92,10.1557/jmr.2019.337,crossref_deposited,,,J. Mater. Res.,2020,
popov2025,93,10.1016/j.matchemphys.2013.03.038,crossref_deposited,,,Mater. Chem. Phys.,2013,
popov2025,94,10.1016/j.solmat.2016.01.043,crossref_deposited,,,Sol. Energy Mater. Sol. Cells,2016,
popov2025,95,10.1134/s0036024414090143,crossref_deposited,,,Russ. J. Phys. Chem. A,2014,
popov2025,96,10.1039/c6qm00291a,crossref_deposited,,,Mater. Chem. Front.,2017,
popov2025,97,10.1039/c0jm02786c,crossref_deposited,,,"J. Mater, Chem",2011,
popov2025,98,10.1016/j.apsusc.2014.10.025,crossref_deposited,,,Appl. Surf. Sci.,2014,
popov2025,99,10.1116/1.5026405,crossref_deposited,,,J. Vac. Sci. Technol. A,2018,
popov2025,100,10.1007/s10853-020-04380-5,crossref_deposited,,,J. Mater. Sci.,2020,
popov2025,101,10.1002/chem.202005268,crossref_deposited,,,Chem. Eur. J.,2021,
popov2025,102,10.1149/1.3248002,crossref_deposited,,,J. Electrochem. Soc.,2010,
popov2025,103,10.1021/cm2029189,crossref_deposited,,,Chem. Mater.,2012,
popov2025,104,10.1021/ja407014w,crossref_deposited,,,J. Am. Chem. Soc.,2013,
popov2025,105,10.1021/acs.chemmater.5b03504,crossref_deposited,,,Chem. Mater.,2016,
popov2025,106,10.1021/acs.chemmater.7b02456,crossref_deposited,,,Chem. Mater.,2017,
popov2025,107,10.1116/6.0001033,crossref_deposited,,,J. Vac. Sci. Technol. A,2021,
popov2025,108,10.1021/acs.chemmater.1c00877,crossref_deposited,,,Chem. Mater.,2021,
popov2025,109,10.1016/j.matlet.2021.131605,crossref_deposited,,,Mater. Lett.,2022,
popov2025,110,10.1002/cvde.201006891,crossref_deposited,,,Chem. Vap. Deposition,2011,
popov2025,111,10.1116/1.4772461,crossref_deposited,,,J. Vac. Sci. Technol. A,2013,
popov2025,112,10.1016/j.tsf.2015.07.003,crossref_deposited,,,Thin Solid Films,2015,
popov2025,113,10.1039/c7dt02757e,crossref_deposited,,,Dalton Trans.,2017,
popov2025,114,10.1021/acs.chemmater.6b05346,crossref_deposited,,,Chem. Mater.,2017,
popov2025,115,10.1016/j.surfcoat.2018.01.047,crossref_deposited,,,Surf. Coat. Technol.,2018,
popov2025,116,10.1002/admi.202200097,crossref_deposited,,,Adv. Mater. Interfaces,2022,
popov2025,117,10.1002/admi.201801291,crossref_deposited,,,Adv. Mater. Interfaces,2019,
popov2025,118,10.1021/acsnano.5b03429,crossref_deposited,,,ACS Nano,2015,
popov2025,119,10.1039/d1dt02315b,crossref_deposited,,,Dalton Trans.,2021,
popov2025,120,10.1116/1.4961385,crossref_deposited,,,J. Vac. Sci. Technol. A,2016,
popov2025,121,10.1016/j.apsusc.2016.04.096,crossref_deposited,,,Appl. Surf. Sci.,2016,
popov2025,122,10.1039/d3dt01717f,crossref_deposited,,,Dalton Trans.,2023,
popov2025,123,10.1021/cm102600m,crossref_deposited,,,Chem. Mater.,2010,
popov2025,124,10.1016/j.ijhydene.2010.01.140,crossref_deposited,,,Int. J. Hydrogen Energy,2010,
popov2025,125,10.1021/acsami.7b08097,crossref_deposited,,,ACS Appl. Mater. Interfaces,2017,
popov2025,126,10.1116/1.5063669,crossref_deposited,,,J. Vac. Sci. Technol. A,2019,
popov2025,127,10.1021/acs.chemmater.8b01271,crossref_deposited,,,Chem. Mater.,2018,
popov2025,128,10.1116/1.5066638,crossref_deposited,,,J. Vac. Sci. Technol. A,2019,
popov2025,129,10.1149/2.008202esl,crossref_deposited,,,Electrochem. Solid-State Lett.,2011,
popov2025,130,10.1116/1.4935353,crossref_deposited,,,J. Vac. Sci. Technol. A,2016,
popov2025,131,10.1021/acs.chemmater.5b00743,crossref_deposited,,,Chem. Mater.,2015,
popov2025,132,10.1016/j.jallcom.2017.12.023,crossref_deposited,,,J. Alloys Compd.,2018,
popov2025,133,10.1116/6.0000896,crossref_deposited,,,J. Vac. Sci. Technol. A,2021,
popov2025,134,10.3390/nano13192702,crossref_deposited,,,Nanomaterials,2023,
popov2025,135,10.1021/acs.chemmater.2c01202,crossref_deposited,,,Chem. Mater.,2022,
popov2025,136,10.1116/6.0000589,crossref_deposited,,,J. Vac. Sci. Technol. A,2020,
popov2025,137,10.1021/acs.chemmater.3c02059,crossref_deposited,,,Chem. Mater.,2023,
popov2025,138,10.1021/cm902294e,crossref_deposited,,,Chem. Mater.,2010,
popov2025,139,10.1021/cm202475e,crossref_deposited,,,Chem. Mater.,2011,
popov2025,140,10.1021/cm501109r,crossref_deposited,,,Chem. Mater.,2014,
popov2025,141,10.1039/c4tc01418a,crossref_deposited,,,J. Mater. Chem. C,2014,
popov2025,142,10.1016/j.tsf.2015.06.053,crossref_deposited,,,Thin Solid Films,2015,
popov2025,143,10.1021/acs.chemmater.6b04597,crossref_deposited,,,Chem. Mater.,2017,
popov2025,144,10.1021/acs.chemmater.7b02098,crossref_deposited,,,Chem. Mater.,2017,
popov2025,145,10.1021/acsami.8b17194,crossref_deposited,,,ACS Appl. Mater. Interfaces,2018,
popov2025,146,10.1002/adem.202100446,crossref_deposited,,,Adv. Eng. Mater.,2021,
popov2025,147,10.1021/acs.jpcc.8b03027,crossref_deposited,,,J. Phys. Chem. C,2018,
popov2025,148,10.1016/j.apsusc.2015.05.062,crossref_deposited,,,Appl. Surf. Sci.,2015,
popov2025,149,10.1039/c6dt02572b,crossref_deposited,,,Dalton Trans.,2017,
popov2025,150,10.1021/acsomega.9b03149,crossref_deposited,,,ACS Omega,2019,
popov2025,151,10.1021/acsanm.9b00808,crossref_deposited,,,ACS Appl. Nano Mater.,2019,
popov2025,152,10.1021/acsomega.9b01351,crossref_deposited,,,ACS Omega,2019,
popov2025,153,10.1016/j.tsf.2014.01.034,crossref_deposited,,,Thin Solid Films,2014,
popov2025,154,10.1016/j.tsf.2015.06.014,crossref_deposited,,,Thin Solid Films,2015,
popov2025,155,10.1063/1.3525929,crossref_deposited,,,Appl. Phys. Lett.,2010,
popov2025,156,10.1002/aelm.201600341,crossref_deposited,,,Adv. Electron. Mater.,2017,
popov2025,157,10.1063/1.4946884,crossref_deposited,,,APL Mater.,2016,
popov2025,158,10.1016/j.mtchem.2018.08.006,crossref_deposited,,,Mater. Today Chem.,2018,
popov2025,159,10.1088/0957-4484/26/5/054001,crossref_deposited,,,Nanotechnology,2015,
popov2025,160,10.1149/06409.0147ecst,crossref_deposited,,,ECS Trans.,2014,
popov2025,161,10.1002/cvde.201106959,crossref_deposited,,,Chem. Vap. Deposition,2012,
popov2025,162,10.1116/1.4933089,crossref_deposited,,,J. Vac. Sci. Technol. A,2016,
popov2025,163,10.1039/c5ta06899a,crossref_deposited,,,J. Mater. Chem. A,2016,
popov2025,164,10.1016/j.ceramint.2015.12.109,crossref_deposited,,,Ceram. Int.,2016,
popov2025,165,10.1088/0953-8984/28/47/475801,crossref_deposited,,,J. Phys.: Condens. Matter,2016,
popov2025,166,10.1021/acsami.6b13033,crossref_deposited,,,ACS Appl. Mater. Interfaces,2017,
popov2025,167,10.1021/acs.chemmater.1c02982,crossref_deposited,,,Chem. Mater.,2021,
popov2025,168,10.1002/admi.201701366,crossref_deposited,,,Adv. Mater. Interfaces,2018,
popov2025,169,10.1016/j.apsusc.2018.05.017,crossref_deposited,,,Appl. Surf. Sci.,2018,
popov2025,170,10.1021/acs.chemmater.2c00907,crossref_deposited,,,Chem. Mater.,2022,
popov2025,171,10.1021/cm3015463,crossref_deposited,,,Chem. Mater.,2012,
popov2025,172,10.1021/cm201412p,crossref_deposited,,,Chem. Mater.,2011,
popov2025,173,10.1021/cm2020862,crossref_deposited,,,Chem. Mater.,2012,
popov2025,174,10.1021/acs.chemmater.6b01869,crossref_deposited,,,Chem. Mater.,2016,
popov2025,175,10.1039/c0jm00363h,crossref_deposited,,,J. Mater. Chem.,2010,
popov2025,176,10.1116/1.4902079,crossref_deposited,,,J. Vac. Sci. Technol. A,2015,
popov2025,177,10.1116/1.4936389,crossref_deposited,,,J. Vac. Sci. Technol. A,2016,
popov2025,178,10.1002/cvde.201507170,crossref_deposited,,,Chem. Vap. Deposition,2015,
popov2025,179,10.1016/j.apsusc.2012.05.019,crossref_deposited,,,Appl. Surf. Sci.,2012,
popov2025,180,10.1039/c3tc30401a,crossref_deposited,,,J. Mater. Chem. C,2013,
popov2025,181,10.1002/cvde.201407116,crossref_deposited,,,Chem. Vap. Deposition,2014,
popov2025,182,10.1039/d3dt01824e,crossref_deposited,,,Dalton Trans.,2023,
popov2025,183,10.1109/ted.2016.2570221,crossref_deposited,,,IEEE Trans. Electron Devices,2016,
popov2025,184,10.1016/j.tsf.2016.03.018,crossref_deposited,,,Thin Solid Films,2016,
popov2025,185,10.1149/2.013206jss,crossref_deposited,,,ECS J. Solid State Sci. Technol.,2012,
popov2025,186,10.1063/1.4829138,crossref_deposited,,,Appl. Phys. Lett.,2013,
popov2025,187,10.1039/c3ra47469k,crossref_deposited,,,RSC Adv.,2014,
popov2025,188,10.1039/c6ra27644j,crossref_deposited,,,RSC Adv.,2017,
popov2025,189,10.1021/acs.chemmater.2c00753,crossref_deposited,,,Chem. Mater.,2022,
popov2025,190,10.1021/acsenergylett.7b01056,crossref_deposited,,,ACS Energy Lett.,2017,
popov2025,191,10.1149/2.004303jss,crossref_deposited,,,ECS J. Solid State Sci. Technol.,2013,
popov2025,192,10.1021/ja300319g,crossref_deposited,,,J. Am. Chem. Soc.,2012,
popov2025,193,10.1039/c8cc10175b,crossref_deposited,,,Chem. Commun.,2019,
popov2025,194,10.1007/s11671-010-9676-0,crossref_deposited,,,Nanoscale Res. Lett.,2010,
popov2025,195,10.1021/la305027k,crossref_deposited,,,Langmuir,2013,
popov2025,196,10.1016/j.apsusc.2015.04.154,crossref_deposited,,,Appl. Surf. Sci.,2015,
popov2025,197,10.1007/s11814-016-0319-8,crossref_deposited,,,Korean J. Chem. Eng.,2016,
popov2025,198,10.1002/admi.201700155,crossref_deposited,,,Adv. Mater. Interfaces,2017,
popov2025,199,10.1116/6.0000212,crossref_deposited,,,J. Vac. Sci. Technol. A,2020,
popov2025,200,10.1002/admi.202000318,crossref_deposited,,,Adv. Mater. Interfaces,2020,
popov2025,201,10.1039/c3ta11550j,crossref_deposited,,,J. Mater. Chem. A,2013,
popov2025,202,10.1002/advs.201500022,crossref_deposited,,,Adv. Sci.,2015,
popov2025,203,10.1039/d1ra00507c,crossref_deposited,,,RSC Adv.,2021,
popov2025,204,10.1016/j.jallcom.2022.168045,crossref_deposited,,,J. Alloys Compd.,2023,
popov2025,205,10.1002/anie.201700449,crossref_deposited,,,Angew. Chem. Int. Ed.,2017,
popov2025,206,10.1039/c2ee23620f,crossref_deposited,,,Energy Env. Sci.,2013,
popov2025,207,10.1002/cvde.201207030,crossref_deposited,,,Chem. Vap. Deposition,2013,
popov2025,208,10.1002/cvde.201106879,crossref_deposited,,,Chem. Vap. Deposition,2011,
popov2025,209,10.1021/cm300712x,crossref_deposited,,,Chem. Mater.,2012,
popov2025,210,10.1016/j.matchemphys.2023.128037,crossref_deposited,,,Mater. Chem. Phys.,2023,
popov2025,211,10.1021/acs.cgd.3c00502,crossref_deposited,,,Cryst. Growth Des.,2023,
popov2025,212,10.1039/c5tc03079j,crossref_deposited,,,J. Mater. Chem. C,2016,
popov2025,213,10.1021/cm4031057,crossref_deposited,,,Chem. Mater.,2014,
popov2025,214,10.1016/j.mssp.2019.05.028,crossref_deposited,,,Mater. Sci. Semicond. Process.,2019,
popov2025,215,10.1021/acsami.1c23889,crossref_deposited,,,ACS Appl. Mater. Interfaces,2022,
popov2025,216,10.1149/2.0021411jss,crossref_deposited,,,ECS J. Solid State Sci. Technol.,2014,
popov2025,217,10.1002/cvde.201507196,crossref_deposited,,,Chem. Vap. Deposition,2015,
popov2025,218,10.1002/cvde.200906833,crossref_deposited,,,Chem. Vap. Deposition,2010,
popov2025,219,10.3390/ma13010024,crossref_deposited,,,Materials,2019,
popov2025,220,10.1116/6.0001629,crossref_deposited,,,J. Vac. Sci. Technol. A,2022,
popov2025,221,10.1016/j.jlumin.2021.118544,crossref_deposited,,,J. Lumin.,2022,
popov2025,222,10.1002/bkcs.10400,crossref_deposited,,,Bull. Korean Chem. Soc.,2015,
popov2025,223,10.1021/acs.chemmater.7b04371,crossref_deposited,,,Chem. Mater.,2018,
popov2025,224,10.1021/acsaem.3c00960,crossref_deposited,,,ACS Appl. Energy Mater.,2023,
popov2025,225,10.1021/acsomega.3c05657,crossref_deposited,,,ACS Omega,2023,
popov2025,226,10.1021/cm403901y,crossref_deposited,,,Chem. Mater.,2014,
popov2025,227,10.1039/c8tc01041b,crossref_deposited,,,J. Mater. Chem. C,2018,
popov2025,228,10.1021/cm300539a,crossref_deposited,,,Chem. Mater.,2012,
popov2025,229,10.1021/cm4034885,crossref_deposited,,,Chem. Mater.,2014,
popov2025,230,10.1021/acs.chemmater.7b01236,crossref_deposited,,,Chem. Mater.,2017,
popov2025,231,10.1021/acs.chemmater.9b02533,crossref_deposited,,,Chem. Mater.,2019,
popov2025,232,10.1088/1361-6528/aacda0,crossref_deposited,,,Nanotechnology,2018,
popov2025,233,10.1021/acsami.0c03747,crossref_deposited,,,ACS Appl. Mater. Interfaces,2020,
popov2025,234,10.1016/j.jallcom.2023.172284,crossref_deposited,,,J. Alloys Compd.,2023,
popov2025,235,10.1021/acs.chemmater.6b03704,crossref_deposited,,,Chem. Mater.,2016,
popov2025,236,10.1021/acs.chemmater.9b01937,crossref_deposited,,,Chem. Mater.,2019,
popov2025,237,10.1166/jnn.2017.14044,crossref_deposited,,,J. Nanosci. Nanotechnol.,2017,
popov2025,238,10.1116/1.5079661,crossref_deposited,,,J. Vac. Sci. Technol. A,2019,
popov2025,239,10.1116/1.4843535,crossref_deposited,,,J. Vac. Sci. Technol. A,2014,
popov2025,240,10.1016/j.mee.2013.03.084,crossref_deposited,,,Microelectron. Eng.,2013,
popov2025,241,10.1007/s10853-017-1293-1,crossref_deposited,,,J. Mater. Sci.,2017,
popov2025,242,10.1016/j.tsf.2011.10.186,crossref_deposited,,,Thin Solid Films,2012,
popov2025,243,10.1063/1.3400213,crossref_deposited,,,Appl. Phys. Lett.,2010,
popov2025,244,10.1149/1.3266877,crossref_deposited,,,Electrochem. Solid-State Lett.,2010,
popov2025,245,10.1021/acs.chemmater.5b04360,crossref_deposited,,,Chem. Mater.,2016,
popov2025,246,10.1149/1.3301663,crossref_deposited,,,J. Electrochem. Soc.,2010,
popov2025,247,10.1149/1.3481630,crossref_deposited,,,ECS Trans.,2010,
popov2025,248,10.1016/j.jcrysgro.2009.10.028,crossref_deposited,,,J. Cryst. Growth,2010,
popov2025,249,10.1116/1.3664106,crossref_deposited,,,J. Vac. Sci. Technol. A,2012,
popov2025,250,10.1002/cvde.201106934,crossref_deposited,,,Chem. Vap. Deposition,2012,
popov2025,251,10.1021/acsami.9b07090,crossref_deposited,,,ACS Appl. Mater. Interfaces,2019,
popov2025,252,10.1116/6.0000053,crossref_deposited,,,J. Vac. Sci. Technol. A,2020,
popov2025,253,10.1039/d1dt03465k,crossref_deposited,,,Dalton Trans.,2021,
popov2025,254,10.1021/acs.inorgchem.1c02339,crossref_deposited,,,Inorg. Chem.,2021,
popov2025,255,10.1016/j.apsusc.2023.156834,crossref_deposited,,,Appl. Surf. Sci.,2023,
popov2025,256,10.1016/j.surfin.2023.103499,crossref_deposited,,,Surf. Interfaces,2023,
popov2025,257,10.1021/acsanm.3c03319,crossref_deposited,,,ACS Appl. Nano Mater.,2023,
popov2025,258,10.1021/acs.chemmater.9b01688,crossref_deposited,,,Chem. Mater.,2019,
popov2025,259,10.1002/admi.202001493,crossref_deposited,,,Adv. Mater. Interfaces,2020,
popov2025,260,10.1134/s0022476623030083,crossref_deposited,,,J. Struct. Chem.,2023,
popov2025,261,10.1007/s10854-018-0351-z,crossref_deposited,,,J. Mater. Sci. Mater. Electron.,2019,
popov2025,262,10.1016/j.mee.2010.06.043,crossref_deposited,,,Microelectron. Eng.,2011,
popov2025,263,10.1016/j.surfcoat.2013.04.050,crossref_deposited,,,Surf. Coat. Technol.,2013,
popov2025,264,10.1149/1.3360697,crossref_deposited,,,ECS Trans.,2010,
popov2025,265,10.1116/1.4764473,crossref_deposited,,,J. Vac. Sci. Technol. A,2013,
popov2025,266,10.1021/cm103637t,crossref_deposited,,,Chem. Mater.,2011,
popov2025,267,10.1039/c3dt52746h,crossref_deposited,,,Dalton Trans.,2014,
popov2025,268,10.1021/am502085c,crossref_deposited,,,ACS Appl. Mater. Interfaces,2014,
popov2025,269,10.1016/j.jallcom.2015.07.150,crossref_deposited,,,J. Alloys Compd.,2015,
popov2025,270,10.1016/j.ceramint.2015.05.015,crossref_deposited,,,Ceram. Int.,2015,
popov2025,271,10.1016/j.apsusc.2016.04.120,crossref_deposited,,,Appl. Surf. Sci.,2016,
popov2025,272,10.1016/j.apsusc.2017.05.066,crossref_deposited,,,Appl. Surf. Sci.,2017,
popov2025,273,10.1002/chem.201802317,crossref_deposited,,,Chem. Eur. J.,2018,
popov2025,274,10.1186/s11671-017-2414-0,crossref_deposited,,,Nanoscale Res. Lett.,2018,
popov2025,275,10.1116/1.5058171,crossref_deposited,,,J. Vac. Sci. Technol. A,2019,
popov2025,276,10.1149/09203.0003ecst,crossref_deposited,,,ECS Trans.,2019,
popov2025,277,10.1063/1.5081727,crossref_deposited,,,AIP Adv.,2019,
popov2025,278,10.1016/j.ceramint.2019.10.018,crossref_deposited,,,Ceram. Int.,2020,
popov2025,279,10.1021/acs.chemmater.0c02306,crossref_deposited,,,Chem. Mater.,2020,
popov2025,280,10.1039/d1dt03748j,crossref_deposited,,,Dalton Trans.,2022,
popov2025,281,10.1021/am501331w,crossref_deposited,,,ACS Appl. Mater. Interfaces,2014,
popov2025,282,10.1116/6.0001787,crossref_deposited,,,J. Vac. Sci. Technol. A,2022,
popov2025,283,10.1002/chem.202101126,crossref_deposited,,,Chem. Eur. J.,2021,
popov2025,284,10.1016/j.jcrysgro.2011.02.039,crossref_deposited,,,J. Cryst. Growth,2011,
popov2025,285,10.1116/6.0002079,crossref_deposited,,,J. Vac. Sci. Technol. A,2022,
popov2025,286,10.1021/acsami.7b04985,crossref_deposited,,,ACS Appl. Mater. Interfaces,2017,
popov2025,287,10.1021/am508071y,crossref_deposited,,,ACS Appl. Mater. Interfaces,2015,
popov2025,288,10.1109/led.2023.3239379,crossref_deposited,,,IEEE Electron Device Lett.,2023,
popov2025,289,10.3390/electronics6020027,crossref_deposited,,,Electronics,2017,
popov2025,290,10.1116/6.0003004,crossref_deposited,,,J. Vac. Sci. Technol. A,2023,
popov2025,291,10.3390/coatings13030605,crossref_deposited,,,Coatings,2023,
popov2025,292,10.1021/jp409738f,crossref_deposited,,,J. Phys. Chem. C,2014,
popov2025,293,10.1016/j.tsf.2015.01.027,crossref_deposited,,,Thin Solid Films,2015,
popov2025,294,10.1039/c0jm00486c,crossref_deposited,,,J. Mater. Chem.,2010,
popov2025,295,10.1039/c1jm12245b,crossref_deposited,,,J. Mater. Chem.,2011,
popov2025,296,10.1021/acs.jpcc.6b04461,crossref_deposited,,,J. Phys. Chem. C,2016,
popov2025,297,10.1002/celc.201800152,crossref_deposited,,,ChemElectroChem,2018,
popov2025,298,10.1021/acs.chemmater.1c03142,crossref_deposited,,,Chem. Mater.,2022,
