entity_key,paper_id,fig_docling_index,printed_figure_number,panel,source_series,representation,record_node_count,n_source_points,coordinate,measurand,measurand_unit,relevance,granularity,record_node_ids,caption_pdf_page,body_pdf_page,caption_evidence,body_evidence,sample_or_run_id,table_evidence,classification,classification_confidence,classification_method,signal_families,supporting_evidence,votes,weak_signals,pressure_assertions,exposure_assertions,pressure_applicable_scope,pressure_applicable_status,pressure_applicable_value,pressure_applicable_unit,pressure_applicable_quantity,pressure_candidates,stated_setting_count,stated_setting_evidence,between_curve_condition,between_curve_value,underlying_case_id
10.1021_acs.chemmater.2c01154|13|4|a|450 °C|primary,10.1021_acs.chemmater.2c01154,13,4,a,450 °C,primary,1,2,H2 flow ratio,XPS S/Mo ratio,,experimental,unresolved,10.1021_acs.chemmater.2c01154-F4a-20,4,3,Figure 4. Effect of the H2 flow ratio on film stoichiometry and correlation of stoichiometry and crystallinity as shown by a heat map of S/Mo atomic ratio analyzed by XPS (the three regions identified are highlighted). The films were deposited using 100 -140 ALD cycles.,"Figure 3b). Remarkably, the microstructure and crystallinity of this 5 -6 monolayer film deposited at 350 ° C is rather similar to the 100 ° C film.

Film Composition. A striking correlation between the S/ Moatomicratio and crystallinity was found as shown in Figure 4. Thecomposition of the majority",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: films were deposited using | X: series_axis 'deposition_temperature' with numeric label '450 °C'","{""multi_output_measurement"": 1, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 2, ""granularity"": ""unresolved""}",[],[],,,,,,,2,body: of 50 -100 ° C,deposition_temperature,450 °C,10.1021_acs.chemmater.2c01154::F4::a::450 °C
10.1021_acs.chemmater.2c01154|14|5|a|0.94|primary,10.1021_acs.chemmater.2c01154,14,5,a,0.94,primary,1,17,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5a-21,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.94'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 17, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.94,10.1021_acs.chemmater.2c01154::F5::a::0.94
10.1021_acs.chemmater.2c01154|14|5|a|0.80|primary,10.1021_acs.chemmater.2c01154,14,5,a,0.80,primary,1,16,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5a-22,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.80'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 16, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.80,10.1021_acs.chemmater.2c01154::F5::a::0.80
10.1021_acs.chemmater.2c01154|14|5|a|0.65|primary,10.1021_acs.chemmater.2c01154,14,5,a,0.65,primary,1,14,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5a-23,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.65'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 14, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.65,10.1021_acs.chemmater.2c01154::F5::a::0.65
10.1021_acs.chemmater.2c01154|14|5|a|0.50|primary,10.1021_acs.chemmater.2c01154,14,5,a,0.50,primary,1,14,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5a-24,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.50'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 14, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.50,10.1021_acs.chemmater.2c01154::F5::a::0.50
10.1021_acs.chemmater.2c01154|14|5|a|0.20|primary,10.1021_acs.chemmater.2c01154,14,5,a,0.20,primary,1,14,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5a-25,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.20'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 14, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.20,10.1021_acs.chemmater.2c01154::F5::a::0.20
10.1021_acs.chemmater.2c01154|14|5|b|0.94|primary,10.1021_acs.chemmater.2c01154,14,5,b,0.94,primary,1,12,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5b-26,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.94'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 12, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.94,10.1021_acs.chemmater.2c01154::F5::b::0.94
10.1021_acs.chemmater.2c01154|14|5|b|0.80|primary,10.1021_acs.chemmater.2c01154,14,5,b,0.80,primary,1,12,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5b-27,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.80'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 12, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.80,10.1021_acs.chemmater.2c01154::F5::b::0.80
10.1021_acs.chemmater.2c01154|14|5|b|0.65|primary,10.1021_acs.chemmater.2c01154,14,5,b,0.65,primary,1,12,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5b-28,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.65'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 12, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.65,10.1021_acs.chemmater.2c01154::F5::b::0.65
10.1021_acs.chemmater.2c01154|14|5|b|0.50|primary,10.1021_acs.chemmater.2c01154,14,5,b,0.50,primary,1,11,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5b-29,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.50'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 11, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.50,10.1021_acs.chemmater.2c01154::F5::b::0.50
10.1021_acs.chemmater.2c01154|14|5|b|0.20|primary,10.1021_acs.chemmater.2c01154,14,5,b,0.20,primary,1,11,Binding energy,intensity,arb. u.,experimental,unresolved,10.1021_acs.chemmater.2c01154-F5b-30,4,4,Figure 5. Effect of the H 2 flow ratio on the chemical environment of Mo and S. XPS spectra of (a) Mo 3d/ S 2s and (b) S 2p core levels of MoS x films grown at 150 ° C using different H 2 flow ratios and 140 ALD cycles. S/Mo stoichiometries are also indicated.,"rent H2 flow ratios will be discussed as an example. The results for other temperatures can be found in Supporting Information (Table S1). Analysis of the Mo 3d region showed that the majority of Mo was present as Mo 4+ , which is attributed to MoS x species (Figure 5a). Two additional doublets at h",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.20'","{""multi_output_measurement"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 11, ""granularity"": ""unresolved""}",[],[],,,,,,,,,H2 flow ratio,0.20,10.1021_acs.chemmater.2c01154::F5::b::0.20
10.1021_acs.chemmater.2c01154|16|7|a|0|primary,10.1021_acs.chemmater.2c01154,16,7,a,0,primary,15,15,cycle_number,film_thickness,nm,experimental,single,10.1021_acs.chemmater.2c01154-7a-S0-P000;10.1021_acs.chemmater.2c01154-7a-S0-P001;10.1021_acs.chemmater.2c01154-7a-S0-P002;10.1021_acs.chemmater.2c01154-7a-S0-P003;10.1021_acs.chemmater.2c01154-7a-S0-P004;10.1021_acs.chemmater.2c01154-7a-S0-P005 …+9,6,6,Figure 7. Effect of the H 2 flow ratio on film growth. (a) Evolution of film thickness measured by in situ SE at 150 ° Cusing different H2 flow ratios. (b) Heat map of GPC (averaged over first 100 cycles) as a function of deposition temperature and the H2 flow ratio.,"temperatures to achieve MoS2 stoichiometry and thus crystallinity.

Film Growth. In situ SE measurements revealed that the thickness of the amorphous films deposited using H 2 flow ratios of 0 to 0.50 at 150 ° C increased linearly as a function of ALD cycles (Figure 7a shows thickness vs cycles, Fig",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0'","{""continuous_trace"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 15, ""granularity"": ""single""}",[],[],,,,,,,,,H2 flow ratio,0,10.1021_acs.chemmater.2c01154::F7::a::0
10.1021_acs.chemmater.2c01154|16|7|a|0.20|primary,10.1021_acs.chemmater.2c01154,16,7,a,0.20,primary,15,15,cycle_number,film_thickness,nm,experimental,single,10.1021_acs.chemmater.2c01154-7a-S1-P000;10.1021_acs.chemmater.2c01154-7a-S1-P001;10.1021_acs.chemmater.2c01154-7a-S1-P002;10.1021_acs.chemmater.2c01154-7a-S1-P003;10.1021_acs.chemmater.2c01154-7a-S1-P004;10.1021_acs.chemmater.2c01154-7a-S1-P005 …+9,6,6,Figure 7. Effect of the H 2 flow ratio on film growth. (a) Evolution of film thickness measured by in situ SE at 150 ° Cusing different H2 flow ratios. (b) Heat map of GPC (averaged over first 100 cycles) as a function of deposition temperature and the H2 flow ratio.,"temperatures to achieve MoS2 stoichiometry and thus crystallinity.

Film Growth. In situ SE measurements revealed that the thickness of the amorphous films deposited using H 2 flow ratios of 0 to 0.50 at 150 ° C increased linearly as a function of ALD cycles (Figure 7a shows thickness vs cycles, Fig",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.20'","{""continuous_trace"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 15, ""granularity"": ""single""}",[],[],,,,,,,,,H2 flow ratio,0.20,10.1021_acs.chemmater.2c01154::F7::a::0.20
10.1021_acs.chemmater.2c01154|16|7|a|0.50|primary,10.1021_acs.chemmater.2c01154,16,7,a,0.50,primary,15,15,cycle_number,film_thickness,nm,experimental,single,10.1021_acs.chemmater.2c01154-7a-S2-P000;10.1021_acs.chemmater.2c01154-7a-S2-P001;10.1021_acs.chemmater.2c01154-7a-S2-P002;10.1021_acs.chemmater.2c01154-7a-S2-P003;10.1021_acs.chemmater.2c01154-7a-S2-P004;10.1021_acs.chemmater.2c01154-7a-S2-P005 …+9,6,6,Figure 7. Effect of the H 2 flow ratio on film growth. (a) Evolution of film thickness measured by in situ SE at 150 ° Cusing different H2 flow ratios. (b) Heat map of GPC (averaged over first 100 cycles) as a function of deposition temperature and the H2 flow ratio.,"temperatures to achieve MoS2 stoichiometry and thus crystallinity.

Film Growth. In situ SE measurements revealed that the thickness of the amorphous films deposited using H 2 flow ratios of 0 to 0.50 at 150 ° C increased linearly as a function of ALD cycles (Figure 7a shows thickness vs cycles, Fig",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.50'","{""continuous_trace"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 15, ""granularity"": ""single""}",[],[],,,,,,,,,H2 flow ratio,0.50,10.1021_acs.chemmater.2c01154::F7::a::0.50
10.1021_acs.chemmater.2c01154|16|7|a|0.65|primary,10.1021_acs.chemmater.2c01154,16,7,a,0.65,primary,15,15,cycle_number,film_thickness,nm,experimental,single,10.1021_acs.chemmater.2c01154-7a-S3-P000;10.1021_acs.chemmater.2c01154-7a-S3-P001;10.1021_acs.chemmater.2c01154-7a-S3-P002;10.1021_acs.chemmater.2c01154-7a-S3-P003;10.1021_acs.chemmater.2c01154-7a-S3-P004;10.1021_acs.chemmater.2c01154-7a-S3-P005 …+9,6,6,Figure 7. Effect of the H 2 flow ratio on film growth. (a) Evolution of film thickness measured by in situ SE at 150 ° Cusing different H2 flow ratios. (b) Heat map of GPC (averaged over first 100 cycles) as a function of deposition temperature and the H2 flow ratio.,"temperatures to achieve MoS2 stoichiometry and thus crystallinity.

Film Growth. In situ SE measurements revealed that the thickness of the amorphous films deposited using H 2 flow ratios of 0 to 0.50 at 150 ° C increased linearly as a function of ALD cycles (Figure 7a shows thickness vs cycles, Fig",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.65'","{""continuous_trace"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 15, ""granularity"": ""single""}",[],[],,,,,,,,,H2 flow ratio,0.65,10.1021_acs.chemmater.2c01154::F7::a::0.65
10.1021_acs.chemmater.2c01154|16|7|a|0.80|primary,10.1021_acs.chemmater.2c01154,16,7,a,0.80,primary,15,15,cycle_number,film_thickness,nm,experimental,single,10.1021_acs.chemmater.2c01154-7a-S4-P000;10.1021_acs.chemmater.2c01154-7a-S4-P001;10.1021_acs.chemmater.2c01154-7a-S4-P002;10.1021_acs.chemmater.2c01154-7a-S4-P003;10.1021_acs.chemmater.2c01154-7a-S4-P004;10.1021_acs.chemmater.2c01154-7a-S4-P005 …+9,6,6,Figure 7. Effect of the H 2 flow ratio on film growth. (a) Evolution of film thickness measured by in situ SE at 150 ° Cusing different H2 flow ratios. (b) Heat map of GPC (averaged over first 100 cycles) as a function of deposition temperature and the H2 flow ratio.,"temperatures to achieve MoS2 stoichiometry and thus crystallinity.

Film Growth. In situ SE measurements revealed that the thickness of the amorphous films deposited using H 2 flow ratios of 0 to 0.50 at 150 ° C increased linearly as a function of ALD cycles (Figure 7a shows thickness vs cycles, Fig",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.80'","{""continuous_trace"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 15, ""granularity"": ""single""}",[],[],,,,,,,,,H2 flow ratio,0.80,10.1021_acs.chemmater.2c01154::F7::a::0.80
10.1021_acs.chemmater.2c01154|16|7|a|0.94|primary,10.1021_acs.chemmater.2c01154,16,7,a,0.94,primary,15,15,cycle_number,film_thickness,nm,experimental,single,10.1021_acs.chemmater.2c01154-7a-S5-P000;10.1021_acs.chemmater.2c01154-7a-S5-P001;10.1021_acs.chemmater.2c01154-7a-S5-P002;10.1021_acs.chemmater.2c01154-7a-S5-P003;10.1021_acs.chemmater.2c01154-7a-S5-P004;10.1021_acs.chemmater.2c01154-7a-S5-P005 …+9,6,6,Figure 7. Effect of the H 2 flow ratio on film growth. (a) Evolution of film thickness measured by in situ SE at 150 ° Cusing different H2 flow ratios. (b) Heat map of GPC (averaged over first 100 cycles) as a function of deposition temperature and the H2 flow ratio.,"temperatures to achieve MoS2 stoichiometry and thus crystallinity.

Film Growth. In situ SE measurements revealed that the thickness of the amorphous films deposited using H 2 flow ratios of 0 to 0.50 at 150 ° C increased linearly as a function of ALD cycles (Figure 7a shows thickness vs cycles, Fig",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.94'","{""continuous_trace"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 15, ""granularity"": ""single""}",[],[],,,,,,,,,H2 flow ratio,0.94,10.1021_acs.chemmater.2c01154::F7::a::0.94
10.1021_acs.chemmater.2c01154|16|7|b|0|primary,10.1021_acs.chemmater.2c01154,16,7,b,0,primary,3,3,deposition_temperature,growth_per_cycle,nm/cycle,experimental,single,10.1021_acs.chemmater.2c01154-7b-S6-P000;10.1021_acs.chemmater.2c01154-7b-S6-P001;10.1021_acs.chemmater.2c01154-7b-S6-P002,6,6,Figure 7. Effect of the H 2 flow ratio on film growth. (a) Evolution of film thickness measured by in situ SE at 150 ° Cusing different H2 flow ratios. (b) Heat map of GPC (averaged over first 100 cycles) as a function of deposition temperature and the H2 flow ratio.,"temperatures to achieve MoS2 stoichiometry and thus crystallinity.

Film Growth. In situ SE measurements revealed that the thickness of the amorphous films deposited using H 2 flow ratios of 0 to 0.50 at 150 ° C increased linearly as a function of ALD cycles (Figure 7a shows thickness vs cycles, Fig",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0'","{""continuous_trace"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 3, ""granularity"": ""single""}",[],[],,,,,,,,,H2 flow ratio,0,10.1021_acs.chemmater.2c01154::F7::b::0
10.1021_acs.chemmater.2c01154|16|7|b|0.20|primary,10.1021_acs.chemmater.2c01154,16,7,b,0.20,primary,8,8,deposition_temperature,growth_per_cycle,nm/cycle,experimental,single,10.1021_acs.chemmater.2c01154-7b-S7-P000;10.1021_acs.chemmater.2c01154-7b-S7-P001;10.1021_acs.chemmater.2c01154-7b-S7-P002;10.1021_acs.chemmater.2c01154-7b-S7-P003;10.1021_acs.chemmater.2c01154-7b-S7-P004;10.1021_acs.chemmater.2c01154-7b-S7-P005 …+2,6,6,Figure 7. Effect of the H 2 flow ratio on film growth. (a) Evolution of film thickness measured by in situ SE at 150 ° Cusing different H2 flow ratios. (b) Heat map of GPC (averaged over first 100 cycles) as a function of deposition temperature and the H2 flow ratio.,"temperatures to achieve MoS2 stoichiometry and thus crystallinity.

Film Growth. In situ SE measurements revealed that the thickness of the amorphous films deposited using H 2 flow ratios of 0 to 0.50 at 150 ° C increased linearly as a function of ALD cycles (Figure 7a shows thickness vs cycles, Fig",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.20'","{""continuous_trace"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 8, ""granularity"": ""single""}",[],[],,,,,,,,,H2 flow ratio,0.20,10.1021_acs.chemmater.2c01154::F7::b::0.20
10.1021_acs.chemmater.2c01154|16|7|b|0.35|primary,10.1021_acs.chemmater.2c01154,16,7,b,0.35,primary,1,1,deposition_temperature,growth_per_cycle,nm/cycle,experimental,single,10.1021_acs.chemmater.2c01154-F7b-39,6,6,Figure 7. Effect of the H 2 flow ratio on film growth. (a) Evolution of film thickness measured by in situ SE at 150 ° Cusing different H2 flow ratios. (b) Heat map of GPC (averaged over first 100 cycles) as a function of deposition temperature and the H2 flow ratio.,"temperatures to achieve MoS2 stoichiometry and thus crystallinity.

Film Growth. In situ SE measurements revealed that the thickness of the amorphous films deposited using H 2 flow ratios of 0 to 0.50 at 150 ° C increased linearly as a function of ALD cycles (Figure 7a shows thickness vs cycles, Fig",,,discrete_experimental_sweep,corroborated,multi_signal(3 families),"['F', 'M', 'Me', 'R', 'X']","Me: C, 140 ALD cycles). (b) Raman spectra and ex situ SE thicknesses illustrating crystallinity and accurate thickness control | R: Effect of the H 2 flow | X: series_axis 'H2 flow ratio' with numeric label '0.35'","{""continuous_trace"": 2, ""discrete_experimental_sweep"": 3}","{""axis_role_coordinate"": false, ""n_source_points"": 1, ""granularity"": ""single""}",[],[],,,,,,,,,H2 flow ratio,0.35,10.1021_acs.chemmater.2c01154::F7::b::0.35
