doi,doi_url,journal,status,article_title,year,cited_by
10.1063/1.2926917,https://doi.org/10.1063/1.2926917,AIP Conf. Proc.,not_oa,Atomic layer deposition of tungsten thin films on opals in the visible region,2008,cremers2019
10.1063/1.4946884,https://doi.org/10.1063/1.4946884,APL Mater.,http_error,,2016,popov2025
10.1021/acs.accounts.8b00012,https://doi.org/10.1021/acs.accounts.8b00012,Acc. Chem. Res.,not_oa,The chemistry of inorganic precursors during the chemical deposition of films on solid surfaces,2018,cremers2019
10.1021/ar500360d,https://doi.org/10.1021/ar500360d,Acc. Chem. Res.,oa_no_pdf_url,Atomic layer deposition of metal sulfide materials,2015,cremers2019
10.1002/aelm.201600341,https://doi.org/10.1002/aelm.201600341,Adv. Electron. Mater.,http_error,,2017,popov2025
10.1002/aelm.201600491,https://doi.org/10.1002/aelm.201600491,Adv. Electron. Mater.,http_error,,2017,popov2025
10.1002/aelm.202101334,https://doi.org/10.1002/aelm.202101334,Adv. Electron. Mater.,http_error,,2022,popov2025
10.1002/aenm.201100330,https://doi.org/10.1002/aenm.201100330,Adv. Energy Mater.,not_oa,,2011,popov2025
10.1002/adem.202100446,https://doi.org/10.1002/adem.202100446,Adv. Eng. Mater.,http_error,,2021,popov2025
10.1002/adfm.201000389,https://doi.org/10.1002/adfm.201000389,Adv. Funct. Mater.,not_oa,Tuning the composition and nanostructure of Pt/Ir films via anodized aluminum oxide templated atomic layer deposition,2010,cremers2019
10.1002/adfm.201001572,https://doi.org/10.1002/adfm.201001572,Adv. Funct. Mater.,not_oa,,2011,popov2025
10.1002/adfm.201600461,https://doi.org/10.1002/adfm.201600461,Adv. Funct. Mater.,not_oa,,2016,popov2025
10.1002/adfm.202206667,https://doi.org/10.1002/adfm.202206667,Adv. Funct. Mater.,not_oa,,2022,popov2025
10.1002/adma.200304452,https://doi.org/10.1002/adma.200304452,Adv. Mater.,not_oa,Ruthenium oxide nanotube arrays fabricated by atomic layer deposition using a carbon nanotube template,2003,cremers2019
10.1002/adma.200700079,https://doi.org/10.1002/adma.200700079,Adv. Mater.,http_error,Synthesis and surface engineering of complex nanostructures by atomic layer deposition,2007,cremers2019
10.1002/adma.201200397,https://doi.org/10.1002/adma.201200397,Adv. Mater.,not_oa,Emerging applications of atomic layer deposition for lithium-ion battery studies,2012,cremers2019
10.1002/adma.201401805,https://doi.org/10.1002/adma.201401805,Adv. Mater.,not_oa,,2014,popov2025
10.1002/adma.201703031,https://doi.org/10.1002/adma.201703031,Adv. Mater.,not_oa,,2017,popov2025
10.1002/adma.201703622,https://doi.org/10.1002/adma.201703622,Adv. Mater.,http_error,,2018,popov2025
10.1002/admi.201600254,https://doi.org/10.1002/admi.201600254,Adv. Mater. Interfaces,not_oa,High-aspect-ratio parallel-plate microchannels applicable to kinetic analysis of chemical vapor deposition,2016,cremers2019
10.1002/admi.201600369,https://doi.org/10.1002/admi.201600369,Adv. Mater. Interfaces,not_oa,,2016,popov2025
10.1002/admi.201600496,https://doi.org/10.1002/admi.201600496,Adv. Mater. Interfaces,not_oa,,2016,popov2025
10.1002/admi.201600564,https://doi.org/10.1002/admi.201600564,Adv. Mater. Interfaces,not_oa,Atomic layer deposition for lithium-based batteries,2016,cremers2019
10.1002/admi.201700123,https://doi.org/10.1002/admi.201700123,Adv. Mater. Interfaces,oa_no_pdf_url,,2017,popov2025
10.1002/admi.201700155,https://doi.org/10.1002/admi.201700155,Adv. Mater. Interfaces,http_error,,2017,popov2025
10.1002/admi.201701146,https://doi.org/10.1002/admi.201701146,Adv. Mater. Interfaces,oa_no_pdf_url,,2018,popov2025
10.1002/admi.201701366,https://doi.org/10.1002/admi.201701366,Adv. Mater. Interfaces,oa_no_pdf_url,,2018,popov2025
10.1002/admi.201770122,https://doi.org/10.1002/admi.201770122,Adv. Mater. Interfaces,http_error,,2017,popov2025
10.1002/admi.201800423,https://doi.org/10.1002/admi.201800423,Adv. Mater. Interfaces,not_oa,,2018,popov2025
10.1002/admi.201801291,https://doi.org/10.1002/admi.201801291,Adv. Mater. Interfaces,oa_no_pdf_url,,2019,popov2025
10.1002/admi.202001493,https://doi.org/10.1002/admi.202001493,Adv. Mater. Interfaces,http_error,,2020,popov2025
10.1002/admi.202001677,https://doi.org/10.1002/admi.202001677,Adv. Mater. Interfaces,oa_no_pdf_url,,2021,popov2025
10.1002/admi.202101278,https://doi.org/10.1002/admi.202101278,Adv. Mater. Interfaces,http_error,,2022,popov2025
10.1002/admi.202102035,https://doi.org/10.1002/admi.202102035,Adv. Mater. Interfaces,http_error,,2022,popov2025
10.1002/admi.202200097,https://doi.org/10.1002/admi.202200097,Adv. Mater. Interfaces,not_oa,,2022,popov2025
10.1002/admi.202200643,https://doi.org/10.1002/admi.202200643,Adv. Mater. Interfaces,oa_no_pdf_url,,2022,popov2025
10.1002/admi.202202166,https://doi.org/10.1002/admi.202202166,Adv. Mater. Interfaces,oa_no_pdf_url,,2023,popov2025
10.1002/admi.202202445,https://doi.org/10.1002/admi.202202445,Adv. Mater. Interfaces,http_error,,2023,popov2025
10.1002/admi.202400579,https://doi.org/10.1002/admi.202400579,Adv. Mater. Interfaces,http_error,,2024,popov2025
10.1002/adom.202201326,https://doi.org/10.1002/adom.202201326,Adv. Opt. Mater.,http_error,,2022,popov2025
10.1002/advs.201500022,https://doi.org/10.1002/advs.201500022,Adv. Sci.,http_error,,2015,popov2025
10.1002/anie.200301652,https://doi.org/10.1002/anie.200301652,Angew. Chem. Int. Ed.,http_error,,2003,popov2025
10.1002/anie.200900414,https://doi.org/10.1002/anie.200900414,Angew. Chem. Int. Ed.,not_oa,,2009,popov2025
