case_type,ref,detail
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P013,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P014,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S0-P015,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S1-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S2-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1b-S3-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S4-P013,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S5-P013,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S6-P013,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S7-P013,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P000,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P001,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P002,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P003,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P004,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P005,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P006,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P007,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P008,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P009,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P010,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P011,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P012,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1021_acs.jpcc.9b08176-1c-S8-P013,relevance=model is_model=True kind=series_member_experiment
model_point_became_experiment,10.1039_d0cp03358h-F3a-4,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10a-38,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10a-39,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10a-40,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10a-41,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10a-42,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10b-43,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10b-44,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10b-45,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10b-46,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10b-47,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10c-48,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10c-49,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10c-50,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10c-51,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10c-52,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10d-53,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10d-54,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10d-55,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10d-56,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10d-57,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10e-58,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10e-59,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10e-60,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10e-61,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10e-62,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10f-63,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10f-64,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10f-65,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10f-66,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1039_d0cp03358h-F10f-67,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1063_1.5028178-F2a-0,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1063_1.5028178-F2a-1,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1063_1.5028178-F2a-2,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1063_1.5028178-F2a-3,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1063_1.5028178-F3a-4,relevance=model is_model=True kind=profile_experiment
model_point_became_experiment,10.1063_1.5028178-F3a-5,relevance=model is_model=True kind=profile_experiment
