record_id,paper_id,printed_figure_number,panel,series_label,document_section,source_pdf_page,evidence_span,run_structure,why,sample_or_run_id,classification_method,verdict,entity_kind,underlying_case_key,sample_index,sampling_stratum,current_record_kind
10.1002_pssa.201532305-10a-S12-P032,10.1002_pssa.201532305,10,a,,figure 10 caption + body mentions in document.md,,In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F10::a::0,15,condition_axis|experimental,series_member_experiment
10.1002_pssa.201532305-10a-S12-P039,10.1002_pssa.201532305,10,a,,figure 10 caption + body mentions in document.md,,In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F10::a::0,16,condition_axis|experimental,series_member_experiment
10.1002_pssa.201532305-4a-S0-P008,10.1002_pssa.201532305,4,a,hot-wire temperature: 1800 °C,figure 4 caption + body mentions in document.md,,in-situ SE) versus different deposition parameters,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F4::a::1800 °C,17,condition_axis|experimental,series_member_experiment
10.1002_pssa.201532305-4a-S2-P020,10.1002_pssa.201532305,4,a,hot-wire temperature: 1910 °C,figure 4 caption + body mentions in document.md,,in-situ SE) versus different deposition parameters,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F4::a::1910 °C,18,condition_axis|experimental,series_member_experiment
10.1002_pssa.201532305-4b-S4-P000,10.1002_pssa.201532305,4,b,H2 flow rate: H2 50 sccm,figure 4 caption + body mentions in document.md,,in-situ SE) versus different deposition parameters,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F4::b::H2 50 sccm,19,condition_axis|experimental,series_member_experiment
10.1002_pssa.201532305-4b-S5-P012,10.1002_pssa.201532305,4,b,H2 flow rate: H2 100 sccm,figure 4 caption + body mentions in document.md,,in-situ SE) versus different deposition parameters,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F4::b::H2 100 sccm,20,condition_axis|experimental,series_member_experiment
10.1002_pssa.201532305-4c-S6-P001,10.1002_pssa.201532305,4,c,WF6 flow rate: WF6 10 sccm,figure 4 caption + body mentions in document.md,,in-situ SE) versus different deposition parameters,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F4::c::WF6 10 sccm,21,condition_axis|experimental,series_member_experiment
10.1002_pssa.201532305-4d-S8-P007,10.1002_pssa.201532305,4,d,Ar flow rate: Ar 10 sccm,figure 4 caption + body mentions in document.md,,in-situ SE) versus different deposition parameters,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F4::d::Ar 10 sccm,22,condition_axis|experimental,series_member_experiment
10.1002_pssa.201532305-4d-S9-P017,10.1002_pssa.201532305,4,d,Ar flow rate: Ar 100 sccm,figure 4 caption + body mentions in document.md,,in-situ SE) versus different deposition parameters,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1002_pssa.201532305::F4::d::Ar 100 sccm,23,condition_axis|experimental,series_member_experiment
10.1007_s11671-010-9676-0-paper-0,10.1007_s11671-010-9676-0,,,,figure None caption + body mentions in document.md,,,not_a_measured_curve,paper-level fallback record created when no figure data existed,,metadata_inferred,no,derived_representation,10.1007_s11671-010-9676-0::FNone::-::0,24,paper_level_record|experimental,paper_level_record
10.1007_s12274-010-0066-9-F1f-0,10.1007_s12274-010-0066-9,1,f,series: 200 ALD cycles,figure 1 caption + body mentions in document.md,,,,record kind unresolved_experiment_record not classifiable from local evidence,,heuristic,uncertain,unknown,10.1007_s12274-010-0066-9::F1::f::200 ALD cycles,25,unresolved_experiment_record|experimental,unresolved_experiment_record
10.1016_j.jcrysgro.2017.04.019-6a-S1-P004,10.1016_j.jcrysgro.2017.04.019,6,a,substrate: Si,figure 6 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1016_j.jcrysgro.2017.04.019::F6::a::Si,26,condition_axis|experimental,series_member_experiment
10.1016_j.jcrysgro.2017.04.019-6a-S2-P002,10.1016_j.jcrysgro.2017.04.019,6,a,substrate: SiO2,figure 6 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1016_j.jcrysgro.2017.04.019::F6::a::SiO2,27,condition_axis|experimental,series_member_experiment
10.1016_j.jcrysgro.2017.04.019-6a-S2-P009,10.1016_j.jcrysgro.2017.04.019,6,a,substrate: SiO2,figure 6 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1016_j.jcrysgro.2017.04.019::F6::a::SiO2,28,condition_axis|experimental,series_member_experiment
10.1016_j.matt.2019.12.026-paper-0,10.1016_j.matt.2019.12.026,,,,figure None caption + body mentions in document.md,,,not_a_measured_curve,paper-level fallback record created when no figure data existed,,metadata_inferred,no,derived_representation,10.1016_j.matt.2019.12.026::FNone::-::0,29,paper_level_record|experimental,paper_level_record
10.1016_j.mee.2018.01.027-F4b-0,10.1016_j.mee.2018.01.027,4,b,series: 9th Talbot Order,figure 4 caption + body mentions in document.md,,,,record kind unresolved_experiment_record not classifiable from local evidence,,heuristic,uncertain,unknown,10.1016_j.mee.2018.01.027::F4::b::9th Talbot Order,30,unresolved_experiment_record|experimental,unresolved_experiment_record
10.1016_j.mee.2018.01.027-F4c-1,10.1016_j.mee.2018.01.027,4,c,series: 13th Talbot Order,figure 4 caption + body mentions in document.md,,,,record kind unresolved_experiment_record not classifiable from local evidence,,heuristic,uncertain,unknown,10.1016_j.mee.2018.01.027::F4::c::13th Talbot Order,31,unresolved_experiment_record|experimental,unresolved_experiment_record
10.1016_j.mee.2018.01.033-paper-0,10.1016_j.mee.2018.01.033,,,,figure None caption + body mentions in document.md,,,not_a_measured_curve,paper-level fallback record created when no figure data existed,,metadata_inferred,no,derived_representation,10.1016_j.mee.2018.01.033::FNone::-::0,32,paper_level_record|experimental,paper_level_record
10.1016_j.sse.2022.108584-5b-S1-P002,10.1016_j.sse.2022.108584,5,b,parameter: theta_sat,figure 5 caption + body mentions in document.md,,,model_output,pipeline flags relevance=model / is_model_result,,metadata_inferred,no,simulation_run_or_profile,10.1016_j.sse.2022.108584::F5::b::theta_sat,33,condition_axis|model,series_member_experiment
10.1016_j.sse.2022.108584-5b-S1-P008,10.1016_j.sse.2022.108584,5,b,parameter: theta_sat,figure 5 caption + body mentions in document.md,,,model_output,pipeline flags relevance=model / is_model_result,,metadata_inferred,no,simulation_run_or_profile,10.1016_j.sse.2022.108584::F5::b::theta_sat,34,condition_axis|model,series_member_experiment
10.1016_j.sse.2022.108584-F5a-12,10.1016_j.sse.2022.108584,5,a,parameter: beta_0,figure 5 caption + body mentions in document.md,,,model_output,pipeline flags relevance=model / is_model_result,,metadata_inferred,no,simulation_run_or_profile,10.1016_j.sse.2022.108584::F5::a::beta_0,35,unresolved_experiment_record|model,unresolved_experiment_record
10.1016_j.sse.2022.108584-F7a-25,10.1016_j.sse.2022.108584,7,a,"initial opening d: Bosanquet, d = 2.0 µm",figure 7 caption + body mentions in document.md,,simulated structures to profiles reported by Yim and Ylivaara et al,model_output,pipeline flags relevance=model / is_model_result,,caption_inferred,no,simulation_run_or_profile,"10.1016_j.sse.2022.108584::F7::a::Bosanquet, d = 2.0 µm",36,coordinate_axis|model,profile_experiment
10.1016_j.tsf.2012.11.127-2a-S0-P001,10.1016_j.tsf.2012.11.127,2,a,series: Thickness,figure 2 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1016_j.tsf.2012.11.127::F2::a::Thickness,37,condition_axis|experimental,series_member_experiment
10.1016_j.tsf.2012.11.127-F4a-5,10.1016_j.tsf.2012.11.127,4,a,Fe content: Fe:Zr 1:200,figure 4 caption + body mentions in document.md,,,output_vs_output,both axes are measured outputs; not a swept input,,metadata_inferred,no,derived_representation,10.1016_j.tsf.2012.11.127::F4::a::200,38,correlation_record|experimental,correlation_record
10.1016_j.tsf.2012.11.127-F5b-20,10.1016_j.tsf.2012.11.127,5,b,condition: t-ZrO2,figure 5 caption + body mentions in document.md,,,,record kind unresolved_experiment_record not classifiable from local evidence,,heuristic,uncertain,unknown,10.1016_j.tsf.2012.11.127::F5::b::t-ZrO2,39,unresolved_experiment_record|experimental,unresolved_experiment_record
10.1021_acs.chemmater.2c01154-7a-S1-P003,10.1021_acs.chemmater.2c01154,7,a,H2 flow ratio: 0.20,figure 7 caption + body mentions in document.md,,in situ SE at 150 ° Cusing different H2 flow ratios,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1021_acs.chemmater.2c01154::F7::a::0.20,40,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c01154-7a-S1-P011,10.1021_acs.chemmater.2c01154,7,a,H2 flow ratio: 0.20,figure 7 caption + body mentions in document.md,,in situ SE at 150 ° Cusing different H2 flow ratios,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1021_acs.chemmater.2c01154::F7::a::0.20,41,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c01154-7a-S4-P001,10.1021_acs.chemmater.2c01154,7,a,H2 flow ratio: 0.80,figure 7 caption + body mentions in document.md,,in situ SE at 150 ° Cusing different H2 flow ratios,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1021_acs.chemmater.2c01154::F7::a::0.80,42,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c01154-8a-S15-P001,10.1021_acs.chemmater.2c01154,8,a,H2 flow ratio: 0.65,figure 8 caption + body mentions in document.md,,as a function of deposition temperature and the H 2 flow ratio,separate_depositions,growth vs temperature: one deposition per temperature,,caption_inferred,yes,experimental_case,10.1021_acs.chemmater.2c01154::F8::a::0.65,43,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c01154-8a-S16-P002,10.1021_acs.chemmater.2c01154,8,a,H2 flow ratio: 0.80,figure 8 caption + body mentions in document.md,,as a function of deposition temperature and the H 2 flow ratio,separate_depositions,growth vs temperature: one deposition per temperature,,caption_inferred,yes,experimental_case,10.1021_acs.chemmater.2c01154::F8::a::0.80,44,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c01154-F1b-10,10.1021_acs.chemmater.2c01154,1,b,number of cycles: 50 cyc (4.8 nm),figure 1 caption + body mentions in document.md,,,,record kind unresolved_experiment_record not classifiable from local evidence,,heuristic,uncertain,unknown,10.1021_acs.chemmater.2c01154::F1::b::50 cyc (4.8 nm),45,unresolved_experiment_record|experimental,unresolved_experiment_record
10.1021_acs.chemmater.2c01154-F4a-18,10.1021_acs.chemmater.2c01154,4,a,deposition_temperature: 300 °C,figure 4 caption + body mentions in document.md,,,,record kind single_experiment not classifiable from local evidence,,heuristic,uncertain,unknown,10.1021_acs.chemmater.2c01154::F4::a::300 °C,46,single_experiment|experimental,single_experiment
10.1021_acs.chemmater.2c02292-4c-S5-P003,10.1021_acs.chemmater.2c02292,4,c,sample state: Annealed,figure 4 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1021_acs.chemmater.2c02292::F4::c::Annealed,47,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c02292-4c-S5-P022,10.1021_acs.chemmater.2c02292,4,c,sample state: Annealed,figure 4 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1021_acs.chemmater.2c02292::F4::c::Annealed,48,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c02292-4c-S5-P027,10.1021_acs.chemmater.2c02292,4,c,sample state: Annealed,figure 4 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1021_acs.chemmater.2c02292::F4::c::Annealed,49,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c02292-4c-S5-P034,10.1021_acs.chemmater.2c02292,4,c,sample state: Annealed,figure 4 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1021_acs.chemmater.2c02292::F4::c::Annealed,50,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c02292-5b-S11-P001,10.1021_acs.chemmater.2c02292,5,b,coreactant: Methanol,figure 5 caption + body mentions in document.md,,Saturation curves for the RuO4 surface reaction and the alcohol surface react,separate_depositions,a saturation curve is one deposition per dose,,caption_inferred,yes,experimental_case,10.1021_acs.chemmater.2c02292::F5::b::Methanol,51,condition_axis|experimental,series_member_experiment
10.1021_acs.chemmater.2c02292-F4d-21,10.1021_acs.chemmater.2c02292,4,d,data type: Fit,figure 4 caption + body mentions in document.md,,,output_vs_output,both axes are measured outputs; not a swept input,,metadata_inferred,no,derived_representation,10.1021_acs.chemmater.2c02292::F4::d::Fit,52,correlation_record|experimental,correlation_record
10.1021_acs.jpcc.9b08176-1b-S1-P005,10.1021_acs.jpcc.9b08176,1,b,surface recombination probability: r=10^-4,figure 1 caption + body mentions in document.md,,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",model_output,pipeline flags relevance=model / is_model_result,,caption_inferred,no,simulation_run_or_profile,10.1021_acs.jpcc.9b08176::F1::b::r=10^-4,53,condition_axis|model,series_member_experiment
10.1021_acs.jpcc.9b08176-1c-S4-P007,10.1021_acs.jpcc.9b08176,1,c,exposure time: t=10^0,figure 1 caption + body mentions in document.md,,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",model_output,pipeline flags relevance=model / is_model_result,,caption_inferred,no,simulation_run_or_profile,10.1021_acs.jpcc.9b08176::F1::c::t=10^0,54,condition_axis|model,series_member_experiment
10.1021_acs.jpcc.9b08176-1c-S6-P013,10.1021_acs.jpcc.9b08176,1,c,exposure time: t=10^2,figure 1 caption + body mentions in document.md,,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",model_output,pipeline flags relevance=model / is_model_result,,caption_inferred,no,simulation_run_or_profile,10.1021_acs.jpcc.9b08176::F1::c::t=10^2,55,condition_axis|model,series_member_experiment
10.1021_acs.jpcc.9b08176-1c-S8-P009,10.1021_acs.jpcc.9b08176,1,c,exposure time: t=10^4,figure 1 caption + body mentions in document.md,,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",model_output,pipeline flags relevance=model / is_model_result,,caption_inferred,no,simulation_run_or_profile,10.1021_acs.jpcc.9b08176::F1::c::t=10^4,56,condition_axis|model,series_member_experiment
10.1021_acs.jpcc.9b08176-1c-S8-P011,10.1021_acs.jpcc.9b08176,1,c,exposure time: t=10^4,figure 1 caption + body mentions in document.md,,"calculations, molecular /uniFB02 ow (Knudsen approximation) in trenches with AR =",model_output,pipeline flags relevance=model / is_model_result,,caption_inferred,no,simulation_run_or_profile,10.1021_acs.jpcc.9b08176::F1::c::t=10^4,57,condition_axis|model,series_member_experiment
10.1021_acs.jpcc.9b08176-F2a-12,10.1021_acs.jpcc.9b08176,2,a,,figure 2 caption + body mentions in document.md,,,,record kind single_experiment not classifiable from local evidence,,heuristic,uncertain,unknown,10.1021_acs.jpcc.9b08176::F2::a::0,58,single_experiment|experimental,single_experiment
10.1039_c5tc03561a-2a-S0-P001,10.1039_c5tc03561a,2,a,,figure 2 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1039_c5tc03561a::F2::a::0,59,condition_axis|experimental,series_member_experiment
10.1039_c5tc03561a-3a-S2-P001,10.1039_c5tc03561a,3,a,,figure 3 caption + body mentions in document.md,,depth profile of BaO film obtained at 210 1 C substrate temperature and 2,one_continuous_run,a depth profile is one specimen measured through its thickness,,caption_inferred,no,measurement,10.1039_c5tc03561a::F3::a::0,60,condition_axis|experimental,series_member_experiment
10.1039_c5tc03561a-F8a-13,10.1039_c5tc03561a,8,a,,figure 8 caption + body mentions in document.md,,,output_vs_output,both axes are measured outputs; not a swept input,,metadata_inferred,no,derived_representation,10.1039_c5tc03561a::F8::a::0,61,correlation_record|experimental,correlation_record
10.1039_c6dt03571j-5b-S1-P000,10.1039_c6dt03571j,5,b,,figure 5 caption + body mentions in document.md,,self-limiting growth,separate_depositions,self-limiting growth study: one deposition per dose,,caption_inferred,yes,experimental_case,10.1039_c6dt03571j::F5::b::0,62,condition_axis|experimental,series_member_experiment
10.1039_c6dt03571j-F6a-10,10.1039_c6dt03571j,6,a,temperature: 300°C,figure 6 caption + body mentions in document.md,,,,record kind unresolved_experiment_record not classifiable from local evidence,,heuristic,uncertain,unknown,10.1039_c6dt03571j::F6::a::300°C,63,unresolved_experiment_record|experimental,unresolved_experiment_record
10.1039_c6dt03571j-F8a-18,10.1039_c6dt03571j,8,a,sample condition: Sputtered,figure 8 caption + body mentions in document.md,,,,record kind unresolved_experiment_record not classifiable from local evidence,,heuristic,uncertain,unknown,10.1039_c6dt03571j::F8::a::Sputtered,64,unresolved_experiment_record|experimental,unresolved_experiment_record
10.1039_c7ra07722j-2-S3-P001,10.1039_c7ra07722j,2,,,figure 2 caption + body mentions in document.md,,in situ SE measurements while changing precursor or co-reactant dose times,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1039_c7ra07722j::F2::-::0,65,condition_axis|experimental,series_member_experiment
10.1039_c7ra07722j-3a-S7-P008,10.1039_c7ra07722j,3,a,process and temperature: Plasma 200 °C,figure 3 caption + body mentions in document.md,,"In situ thickness measurements by SE for plasma-assisted ALDof Li2CO3 at 50, 200, 275 a",one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1039_c7ra07722j::F3::a::Plasma 200 °C,66,condition_axis|experimental,series_member_experiment
10.1039_c7ra07722j-3b-S10-P002,10.1039_c7ra07722j,3,b,"measurement method and process: SE, thermal",figure 3 caption + body mentions in document.md,,"In situ thickness measurements by SE for plasma-assisted ALDof Li2CO3 at 50, 200, 275 a",one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,"10.1039_c7ra07722j::F3::b::SE, thermal",67,condition_axis|experimental,series_member_experiment
10.1039_c7ra07722j-5a-S13-P023,10.1039_c7ra07722j,5,a,plasma exposure time: 3 s plasma,figure 5 caption + body mentions in document.md,,In situ SE thickness measurement for plasma-assisted ALD of Li2CO3 at 300 /C14 C using,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1039_c7ra07722j::F5::a::3 s plasma,68,condition_axis|experimental,series_member_experiment
10.1039_c7ra07722j-5a-S13-P036,10.1039_c7ra07722j,5,a,plasma exposure time: 3 s plasma,figure 5 caption + body mentions in document.md,,In situ SE thickness measurement for plasma-assisted ALD of Li2CO3 at 300 /C14 C using,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1039_c7ra07722j::F5::a::3 s plasma,69,condition_axis|experimental,series_member_experiment
10.1039_c7ra07722j-5a-S13-P040,10.1039_c7ra07722j,5,a,plasma exposure time: 3 s plasma,figure 5 caption + body mentions in document.md,,In situ SE thickness measurement for plasma-assisted ALD of Li2CO3 at 300 /C14 C using,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1039_c7ra07722j::F5::a::3 s plasma,70,condition_axis|experimental,series_member_experiment
10.1039_c7ra07722j-5a-S14-P004,10.1039_c7ra07722j,5,a,plasma exposure time: 5 s plasma,figure 5 caption + body mentions in document.md,,In situ SE thickness measurement for plasma-assisted ALD of Li2CO3 at 300 /C14 C using,one_continuous_run,caption states the data are in-situ monitoring of a single run,,caption_inferred,no,measurement,10.1039_c7ra07722j::F5::a::5 s plasma,71,condition_axis|experimental,series_member_experiment
10.1039_c7ra07722j-F6b-22,10.1039_c7ra07722j,6,b,,figure 6 caption + body mentions in document.md,,,,record kind unresolved_experiment_record not classifiable from local evidence,,heuristic,uncertain,unknown,10.1039_c7ra07722j::F6::b::0,72,unresolved_experiment_record|experimental,unresolved_experiment_record
10.1039_d0cp03358h-F10b-43,10.1039_d0cp03358h,10,b,channel height: 100 nm,figure 10 caption + body mentions in document.md,,Simulated saturation profiles of ALD Al2O3 in microscopic rectangular LHAR chan,model_output,pipeline flags relevance=model / is_model_result,,caption_inferred,no,simulation_run_or_profile,10.1039_d0cp03358h::F10::b::100 nm,73,coordinate_axis|model,profile_experiment
10.1039_d0cp03358h-F10e-59,10.1039_d0cp03358h,10,e,number of cycles: 250 cycles,figure 10 caption + body mentions in document.md,,Simulated saturation profiles of ALD Al2O3 in microscopic rectangular LHAR chan,model_output,pipeline flags relevance=model / is_model_result,,caption_inferred,no,simulation_run_or_profile,10.1039_d0cp03358h::F10::e::250 cycles,74,coordinate_axis|model,profile_experiment
10.1039_d0cp03358h-F8b-19,10.1039_d0cp03358h,8,b,sample: Sample 12,figure 8 caption + body mentions in document.md,,sample 8,one_continuous_run,"spatial profile of one coated structure, kept as one record",sample 8,paper_verified,yes,experimental_profile,10.1039_d0cp03358h::F8::b::Sample 12,75,coordinate_axis|experimental,profile_experiment
10.1039_d0cp03358h-F9b-25,10.1039_d0cp03358h,9,b,channel height: 2000 nm,figure 9 caption + body mentions in document.md,,"Sample 7, 8, and 9",one_continuous_run,"spatial profile of one coated structure, kept as one record","Sample 7, 8, and 9",paper_verified,yes,experimental_profile,10.1039_d0cp03358h::F9::b::2000 nm,76,coordinate_axis|experimental,profile_experiment
10.1039_d3dt01824e-3a-S2-P000,10.1039_d3dt01824e,3,a,substrate: Si,figure 3 caption + body mentions in document.md,,,undetermined,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,heuristic,uncertain,unknown,10.1039_d3dt01824e::F3::a::Si,77,condition_axis|experimental,series_member_experiment
