paper,kind,reason_class,status,a,b,a_figure,b_figure,reason
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9b__exp01,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9b__exp02,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9b__exp03,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9c__exp01,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9c__exp02,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9c__exp03,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9e__exp01,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9e__exp02,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9e__exp03,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9f__exp01,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9f__exp02,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0cp03358h__Fig9f__exp03,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1039_d0cp03358h::F2a,,2,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1039_d0cp03358h::F2b,,2,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1039_d0cp03358h::F2c,,2,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::SUP::10.1039_d0cp03358h::F2d,,2,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0cp03358h,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::IMG::10.1039_d0cp03358h::F6,,6,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,MEASUREMENT_ONLY_FIGURE,UNRESOLVED,M::10.1039_d0ra09876k__Fig2a__exp01,,2,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra09876k,measurement_without_case,MEASUREMENT_ONLY_FIGURE,UNRESOLVED,M::10.1039_d0ra09876k__Fig2a__exp02,,2,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra09876k,measurement_without_case,MEASUREMENT_ONLY_FIGURE,UNRESOLVED,M::10.1039_d0ra09876k__Fig2a__exp03,,2,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra09876k,measurement_without_case,MEASUREMENT_ONLY_FIGURE,UNRESOLVED,M::10.1039_d0ra09876k__Fig2b__exp01,,2,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra09876k,measurement_without_case,MEASUREMENT_ONLY_FIGURE,UNRESOLVED,M::10.1039_d0ra09876k__Fig2b__exp02,,2,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra09876k,measurement_without_case,MEASUREMENT_ONLY_FIGURE,UNRESOLVED,M::10.1039_d0ra09876k__Fig2b__exp03,,2,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig6a,,6,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig6b,,6,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig6c,,6,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig6e,,6,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig6f,,6,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig6g,,6,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig8a__exp01,,8,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig8a__exp02,,8,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra09876k__Fig8b__exp01,,8,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra09876k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra09876k__Fig8b__exp02,,8,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig9a__exp01,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig9a__exp02,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig9a__exp03,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra09876k,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_d0ra09876k__Fig9a__exp04,,9,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_c5ta00205b__Fig2a,,2,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_c5ta00205b,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_c5ta00205b__Fig2b,,2,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig3a,,3,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_c5ta00205b__Fig4a,,4,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_c5ta00205b,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_c5ta00205b__Fig4b,,4,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig10a,,10,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig10b,,10,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig11a__exp01,,11,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig11a__exp02,,11,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig13a__exp01,,13,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig13a__exp02,,13,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig13a__exp03,,13,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig13a__exp04,,13,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_c5ta00205b,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1039_c5ta00205b__Fig13a__exp05,,13,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1021_acs.langmuir.6b03119,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1021_acs.langmuir.6b03119__Fig4a__exp01,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1021_acs.langmuir.6b03119,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1021_acs.langmuir.6b03119__Fig4a__exp02,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1021_acs.langmuir.6b03119,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1021_acs.langmuir.6b03119__Fig4b__exp01,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1021_acs.langmuir.6b03119,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1021_acs.langmuir.6b03119__Fig4b__exp02,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1021_acs.langmuir.6b03119,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1021_acs.langmuir.6b03119__Fig4d__exp01,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1021_acs.langmuir.6b03119,measurement_without_case,PROVENANCE_CHAIN_INCOMPLETE,UNRESOLVED,M::10.1021_acs.langmuir.6b03119__Fig4d__exp02,,4,,no statement in the section reporting this figure identifies which synthesis produced the measured specimen
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5a__exp02,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5a__exp03,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5a__exp04,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5a__exp05,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5a__exp06,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5a__exp07,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5b__exp02,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5b__exp03,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5b__exp04,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5b__exp05,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5b__exp06,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig5b__exp07,,5,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig8a__exp02,,8,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig8a__exp03,,8,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig8a__exp04,,8,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig8a__exp05,,8,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
10.1039_d0ra01602k,measurement_without_case,SOURCE_TRULY_UNSPECIFIED,UNRESOLVED,M::10.1039_d0ra01602k__Fig8a__exp06,,8,,no deposition case is established for this result: the source does not state which deposition produced the specimen it was measured on
