psed_experiment_id,source_result_ids,figure_panel,material,conditions,geometry,experiment_class,physical_case_id,mapped_pdf_case,mapped_measurement,verdict,explanation,confidence
10.1149_2.067203jes__Fig5a,10.1149_2.067203jes__Fig5a,Fig5a,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig5a,CASE_A,M6,CORRECT,ALD window sweep,HIGH
10.1149_2.067203jes__Fig5b,10.1149_2.067203jes__Fig5b,Fig5b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig5b,CASE_A,M6,CORRECT,ALD window sweep,HIGH
10.1149_2.067203jes__Fig6a__exp01,10.1149_2.067203jes__Fig6a__exp01,Fig6a,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig6a__exp01,CASE_A,M7,OVER_SPLIT,FTIR of films from the same process series,HIGH
10.1149_2.067203jes__Fig6a__exp02,10.1149_2.067203jes__Fig6a__exp02,Fig6a,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig6a__exp02,CASE_A,M7,OVER_SPLIT,FTIR of films from the same process series,HIGH
10.1149_2.067203jes__Fig6b__exp01,10.1149_2.067203jes__Fig6b__exp01,Fig6b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig6b__exp01,CASE_A,M7,OVER_SPLIT,same,HIGH
10.1149_2.067203jes__Fig6b__exp02,10.1149_2.067203jes__Fig6b__exp02,Fig6b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig6b__exp02,CASE_A,M7,OVER_SPLIT,same,HIGH
10.1149_2.067203jes__Fig10a__exp01,10.1149_2.067203jes__Fig10a__exp01,Fig10a,,,planar,ExperimentalCase,10.1149_2.067203jes__Fig10a__exp01,CASE_A,M10,NOT_A_DEPOSITION_EXPERIMENT,plasma optical emission diagnostic,HIGH
10.1149_2.067203jes__Fig10a__exp02,10.1149_2.067203jes__Fig10a__exp02,Fig10a,,,planar,ExperimentalCase,10.1149_2.067203jes__Fig10a__exp02,CASE_A,M10,NOT_A_DEPOSITION_EXPERIMENT,plasma optical emission diagnostic,HIGH
10.1149_2.067203jes__Fig11b__case00,10.1149_2.067203jes__Fig11b,Fig11b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig11b,CASE_E,M11,OVER_MERGED,"lifetime of SiO2-only AND SiO2/Al2O3 stack specimens, all labelled material=SiO2",HIGH
10.1149_2.067203jes__Fig11b__case01,10.1149_2.067203jes__Fig11b,Fig11b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig11b,CASE_E,M11,OVER_MERGED,"lifetime of SiO2-only AND SiO2/Al2O3 stack specimens, all labelled material=SiO2",HIGH
10.1149_2.067203jes__Fig11b__case02,10.1149_2.067203jes__Fig11b,Fig11b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig11b,CASE_E,M11,OVER_MERGED,"lifetime of SiO2-only AND SiO2/Al2O3 stack specimens, all labelled material=SiO2",HIGH
10.1149_2.067203jes__Fig11b__case03,10.1149_2.067203jes__Fig11b,Fig11b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig11b,CASE_E,M11,OVER_MERGED,"lifetime of SiO2-only AND SiO2/Al2O3 stack specimens, all labelled material=SiO2",HIGH
10.1149_2.067203jes__Fig11b__case04,10.1149_2.067203jes__Fig11b,Fig11b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig11b,CASE_E,M11,OVER_MERGED,"lifetime of SiO2-only AND SiO2/Al2O3 stack specimens, all labelled material=SiO2",HIGH
10.1149_2.067203jes__Fig11b__case05,10.1149_2.067203jes__Fig11b,Fig11b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig11b,CASE_E,M11,OVER_MERGED,"lifetime of SiO2-only AND SiO2/Al2O3 stack specimens, all labelled material=SiO2",HIGH
10.1149_2.067203jes__Fig11b__case06,10.1149_2.067203jes__Fig11b,Fig11b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig11b,CASE_E,M11,OVER_MERGED,"lifetime of SiO2-only AND SiO2/Al2O3 stack specimens, all labelled material=SiO2",HIGH
10.1149_2.067203jes__Fig11b__case07,10.1149_2.067203jes__Fig11b,Fig11b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig11b,CASE_E,M11,OVER_MERGED,"lifetime of SiO2-only AND SiO2/Al2O3 stack specimens, all labelled material=SiO2",HIGH
10.1149_2.067203jes__Fig11b__case08,10.1149_2.067203jes__Fig11b,Fig11b,SiO2,,planar,ExperimentalCase,10.1149_2.067203jes__Fig11b,CASE_E,M11,OVER_MERGED,"lifetime of SiO2-only AND SiO2/Al2O3 stack specimens, all labelled material=SiO2",HIGH
